"ID","select_reject_by (Wim/Christophe)","notes (Wim/Christophe)","select_reject_by (Kural)","notes kural","title","abstract","source_type","year","database","journal","volume","issue","start_page","end_page","doi","issn"
1087," "," "," "," ","animal olfactory detection of disease promises and pitfalls",NA,"JOUR","2014","Scopus",NA,"60","12","1473","1479","10.1373/clinchem.2014.231282",NA
1088," "," "," "," ","fraud detection in international calls using fuzzy logic","Fraud is a problem that affects operators and telecommunication companies all around the world. One of the most known fraud is the bypass fraud, which is used in international calls in order to avoid access charges and making profits. This kind of fraud causes severe losses in revenue to operators with other negative side effects. In this paper a new fraud detection technique is proposed. The proposed technique depends on user profiling and using fuzzy logic. Fuzzy logic was used in decision making process by utilizing fuzzy logic membership function. A real database from mobile operator company Almadar Aljadid in Libya is used in this investigation. Five features are extracted and employed as detection patterns in the proposed technique. The five features or detection patterns are, subscriber's mobility, incoming to outgoing calls ratio, suspicious cell activity, irregular calls, and service type. © 2015 IEEE.","CONF","2015","Scopus",NA,NA,NA,NA,NA,"10.1109/ICCVIA.2015.7351891",NA
1089," "," "," "," ","citywatch the personalized crime prevention assistant","Motivated by rising levels of crime against property and findings in criminology research, we are developing CityWatch - the first mobile application that supports crime prevention behavior at community level. CityWatch leverages data on past crime incidents, which are sourced both from trustworthy sources, like the national census and the insurance industry, and from its users through crowd-sourcing. It applies machine learning algorithms to analyze the past incidents together with further data characterizing the living areas and learns common patterns of crime. These patterns are then leveraged in a general forecasting component, as well as in generating personalized risk profiles and crime prevention tips for registered users based on their account information. The results are visualized in an interactive map, where users can analyze past crime in their neighborhood and view predictions of future crime. Users can report a new crime and opt to receive notifications about new incidents in their proximity or area of residence. Copyright © 2014 ACM 978-1-4503-3304-7/14/11 ⋯$15.00.","CONF","2014","Scopus",NA,"2014-November",NA,"260","261","10.1145/2677972.2678008",NA
1090," "," "," "," ","adversarial feature selection against evasion attacks","Pattern recognition and machine learning techniques have been increasingly adopted in adversarial settings such as spam, intrusion, and malware detection, although their security against well-crafted attacks that aim to evade detection by manipulating data at test time has not yet been thoroughly assessed. While previous work has been mainly focused on devising adversary-aware classification algorithms to counter evasion attempts, only few authors have considered the impact of using reduced feature sets on classifier security against the same attacks. An interesting, preliminary result is that classifier security to evasion may be even worsened by the application of feature selection. In this paper, we provide a more detailed investigation of this aspect, shedding some light on the security properties of feature selection against evasion attacks. Inspired by previous work on adversary-aware classifiers, we propose a novel adversary-aware feature selection model that can improve classifier security against evasion attacks, by incorporating specific assumptions on the adversary's data manipulation strategy. We focus on an efficient, wrapper-based implementation of our approach, and experimentally validate its soundness on different application examples, including spam and malware detection. © 2015 IEEE.","JOUR","2016","Scopus",NA,"46","3","766","777","10.1109/TCYB.2015.2415032",NA
1091," "," "," "," ","the uses and impacts of mobile computing technology in hot spots policing","Background: Recent technological advances have much potential for improving police performance, but there has been little research testing whether they have made police more effective in reducing crime. Objective: To study the uses and crime control impacts of mobile computing technology in the context of geographically focused “hot spots” patrols. Research Design: An experiment was conducted using 18 crime hot spots in a suburban jurisdiction. Nine of these locations were randomly selected to receive additional patrols over 11 weeks. Researchers studied officers’ use of mobile information technology (IT) during the patrols using activity logs and interviews. Nonrandomized subgroup and multivariate analyses were employed to determine if and how the effects of the patrols varied based on these patterns. Results: Officers used mobile computing technology primarily for surveillance and enforcement (e.g., checking automobile license plates and running checks on people during traffic stops and field interviews), and they noted both advantages and disadvantages to its use. Officers did not often use technology for strategic problem-solving and crime prevention. Given sufficient (but modest) dosages, the extra patrols reduced crime at the hot spots, but this effect was smaller in places where officers made greater use of technology. Conclusions: Basic applications of mobile computing may have little if any direct, measurable impact on officers’ ability to reduce crime in the field. Greater training and emphasis on strategic uses of IT for problem-solving and crime prevention, and greater attention to its behavioral effects on officers, might enhance its application for crime reduction. © 2016, © The Author(s) 2016.","JOUR","2015","Web of Science",NA,"39","6","587","624","10.1177/0193841X16634482",NA
1092," "," "," "," ","smartphone image acquisition forensics using sensor fingerprint","The forensic analysis of digital images from mobile devices is particularly important given their quick expansion and everyday use in the society. A further consequence of digital images' widespread use is that they are used today as silent witnesses in legal proceedings, as crucial evidence of the crime. This study specifically addresses the description of a technique that allows the identification of the image source acquisition, for the specific case of mobile devices images. This approach is to extract wavelet-based features from sensor pattern noise which are then classified using a support vector machine. Moreover, there are a number of parameters that allows the authors to adapt the execution of the algorithm to specific situations desired for the forensic analyst (a variety of types and sizes of image or optimising the average accuracy rate in terms of processing time). This article describes a set of experiments with the same set of images that can obtain general conclusions for the different configurations. © The Institution of Engineering and Technology 2015.","JOUR","2015","Web of Science",NA,"9","5","723","731","10.1049/iet-cvi.2014.0243",NA
1093," "," "," "," ","mobilisation pnale et cycle politique au canada tude de cas de 104 rsidents permanents hatiens dports pour criminalit entre 1989 et 2009","Criminal deportation policy in Canada follows a cyclical rather than a linear or partisan pattern. Based on a case study of Haitian residents deported between 1989 and 2009, I argue that criminal deportation cannot be explained as a stable proportion of the pool of permanent residents, but rather in terms of the political attention it generates. A change-point analysis identified two separate political mobilization phases. During the first phase (1994-1998), the integration of long-term residents is defined as a political issue and is translated into legislation (Bill C-44). The second phase (2003-2005) is a new episode of expansion that reformulated the issue around the concepts of risk and efficiency (Bill C-11). Despite recent legal reforms designed to accelerate removals of foreign criminals (Bills C-43 and C-60), the arrival of the Conservative Party (2006-2009) coincided with a decrease in criminal deportations during the period under review. © 2016 Canadian Political Science Association (l'Association canadienne de science politique).","JOUR","2015","Scopus",NA,"48","3","601","623","10.1017/S0008423915000918",NA
1094," "," "," "," ","proceedings 2015 european intelligence and security informatics conference eisic 2015","The proceedings contain 44 papers. The topics discussed include: future schemes for stronger verification of the access rights of border control inspection systems; supporting the externalisation of thinking in criminal intelligence analysis; applying semantic technologies to fight online banking fraud; multi-sensor δ-GLMB filter for multi-target tracking using Doppler only measurements; a step towards detecting online grooming-identifying adults pretending to be children; three-dimensional agent-based model and simulation of a burglar s target selection; using hair follicles with leg geometry to align androgenic hair patterns; ordinal structure of the generic analytic workflow: a survey of intelligence analysts; adopting community features to detect social spammers; s-sac: towards a scalable secure access control framework for cloud storage; optimal mobile sink selection scheme for multiple sink mobile wireless sensor networks; and terrorism and its transition to cyberspace.","CONF","2016","Scopus",NA,NA,NA,NA,NA,NA,NA
1095," "," "," "," ","screening smartphone applications using malware family signatures","The sharp increase in smartphone malware has become one of the most serious security problems. Since the Android platform has taken the dominant position in smartphone popularity, the number of Android malware has grown correspondingly and represents critical threat to the smartphone users. This rise in malware is primarily attributable to the occurrence of variants of existing malware. A set of variants stem from one malware can be considered as one malware family, and malware families cover more than half of the Android malware population. A conventional technique for defeating malware is the use of signature matching which is efficient from a time perspective but not very practical because of its lack of robustness against the malware variants. As a counter approach for handling the issue of variants behavior analysis techniques have been proposed but require extensive time and resources. In this paper, we propose an Android malware detection mechanism that uses automated family signature extraction and family signature matching. Key concept of the mechanism is to extract a set of family representative binary patterns from evaluated family members as a signature and to classify each set of variants into a malware family via an estimation of similarity to the signatures. The proposed family signature and detection mechanism offers more flexible variant detection than does the legacy signature matching, which is strictly dependent on the presence of a specific string. Furthermore, compared with the previous behavior analysis techniques considering family detection, the proposed family signature has higher detection accuracy without the need for the significant overhead of data and control flow analysis. Using the proposed signature, we can detect new variants of known malware efficiently and accurately by static matching. We evaluated our mechanism with 5846 real world Android malware samples belonging to 48 families collected in April 2014 at an anti-virus company; experimental results showed that; our mechanism achieved greater than 97% accuracy in detection of variants. We also demonstrated that the mechanism has a linear time complexity with the number of target applications. © 2015 Elsevier Ltd","JOUR","2015","Scopus",NA,"52",NA,"234","249","10.1016/j.cose.2015.02.003",NA
1096," "," "," "," ","nordic noir in the uk the allure of accessible difference","This article takes a closer look at the recent success of Nordic noir in the United Kingdom considering especially the ways in which this particular aesthetic or popular cultural form has come to function as a medium for intercultural communication wherein the perceived Nordicness of the genre plays a central role in negotiating social and cultural desires and challenges pertaining mostly to the receiving culture. Nordic noir, I argue, is not merely a fleeting fashion but a publishing and media phenomenon that tells us something about particular patterns of cultural consumption in the first decades of the twenty-first century United Kingdom. © 2016 J. Stougaard-Nielsen.","JOUR","2016","Scopus",NA,"8",NA,NA,NA,"10.3402/jac.v8.32704",NA
1097," "," "," "," ","a constraintdriven approach for dynamic malware detection","The growth in use of mobile phones to communicate and access sensitive resources drives the research of new approaches for protecting smartphones from all the possible attacks deriving from malicious software. Moreover, the continuous emerging of new and sophisticated malware makes current solutions to protect mobile phones inadequate shortly after being implemented. In this paper a new approach for run-time malware detection is proposed. It consists in analyzing system call traces gathered from malware and trusted applications to identify a set of relationships and recurring execution patterns that characterize their respective behavior. The characterization of the malware behaviour is expressed in terms of declarative constraints between system calls and can be used to identify similarities across malware families, detect malware variants within the same family, and to build trees of malware families based on their similarities. The effectiveness and efficiency of the approach have been assessed using a dataset of more than 1500 between trusted and malicious applications across six malware families. The results show that the proposed approach exhibits a very good discriminating ability exploitable for both malware detection and the study of malware evolution. © 2016 IEEE.","CONF","2016","Scopus",NA,NA,NA,"512","519","10.1109/PST.2016.7907009",NA
1098," "," "," "," ","impact of the cultural and the urban topography influences in serial sex offenses patterns","Objectives. - This article deals about an aspect not taken into consideration often when considering violent sexual offenses. The term ""crime scene"", which got widespread into common language, depicts all the elements collected at the place where a crime occurred and which could later become pieces of evidence. However, the place by itself, the link between the offender and the place, the influence of the urban environment and the cultural aspect of it do not receive that much attention in the literature. This paper originates from a comparison of the work of two psychologists specialized within the field of geoprofiling, D. Canter and K. Rossmo, the latter being a Canadian citizen and the former an Englishman. If their postulates were similar, their findings however diverged. If primary caretakers and early interactions are not to be underestimated regarding their roles into the personality development, we will in these pages consider the urban environment by itself in serial sexual offenses. Methods. - Due to a restricted access to this type of patients, we mainly focused our hypothesis on a literature review and a few patients of ours, met during previous research works. Concepts used in this paper overlap various fields such as psychodynamic, criminology, criminalistics, psycho-sociology and even urbanism. We focused in this paper onto the importance of the culture and the urban concrete environment as probable variables explaining these discrepancies observed into the behavioral patterns and distances covered by Serial Sex Offenders between the two shores of the Atlantic. The underlying question being how their space conception, their ""mental maps"", depends of the culture they were bred in and how it could have an incident onto their offense zones? Results. - The findings highlight an inherently cultural variation of the spatial conception, but also how the space is built up and integrated between the USA (and all the large and historically ""recents"" territories) and Europe. American sexual serial offenders are more likely to cover larger distances, almost twice as much than their European counterparts. It seems that our hypothesis is relevant; a cultural distinction may exist on the way spatial environment is perceived and could thus have incidences into the offense patterns. Conclusions. - With the development of the E.U., our spatial conceptions as European citizens evolve. Thanks to mass transportation, and the Erasmus programs, it is not uncommon for an Italian individual to study in Scotland or Finland for instance. This is of some importance into how the spatial mobility is becoming more thinkable, and somehow how it induces a shrinkage of the distance into the mental mapping process. (C) 2015 Elsevier Masson SAS. All rights reserved.","JOUR","2015","Web of Science",NA,"173","7","564","573","10.1016/j.amp.2015.03.027",NA
1099," "," "," "," ","the impact of using social media data in crime rate calculations shifting hot spots and changing spatial patterns","Crime rate is a statistic used to summarize the risk of criminal events. However, research has shown that choosing the appropriate denominator is non-trivial. Different crime types exhibit different spatial opportunities and so does the population at risk. The residential population is the most commonly used population at risk, but is unlikely to be suitable for crimes that involve mobile populations. In this article, we use ""crowd-sourced"" data in Leeds, England, to measure the population at risk, considering violent crime. These new data sources have the potential to represent mobile populations at higher spatial and temporal resolutions than other available data. Through the use of two local spatial statistics (Getis-Ord GI∗ and the Geographical Analysis Machine) and visualization, we show that when the volume of social media messages, as opposed to the residential population, is used as a proxy for the population at risk, criminal event hot spots shift spatially. Specifically, the results indicate a significant shift in the city center, eliminating its hot spot. Consequently, if crime reduction/prevention efforts are based on resident population based crime rates, such efforts may not only be ineffective in reducing criminal event risk, but be a waste of public resources. © 2014 Cartography and Geographic Information Society.","JOUR","2015","Web of Science",NA,"42","2","112","121","10.1080/15230406.2014.905756",NA
1100," "," "," "," ","real time biometrics based vehicle security system with gps and gsm technology","In this current world where technology is growing up day by day and scientific researchers are presenting new era of discoveries, the need for security is also increasing in all areas. At present, the vehicle usage is basic necessity for everyone. Simultaneously, protecting the vehicle against theft is also very important. Traditional vehicle security system depends on many sensors and cost is also high. When the vehicle is stolen, no more response or alternative could be available to help the owner of the vehicle to find it back. The main goal of this paper is to protect the vehicle from any unauthorized access, using fast, easy-to-use, clear, reliable and economical fingerprint recognition technique. This vehicle security system intimates the status of the vehicle to the authoritative person (owner) using Global System for Mobile (GSM) communication technology. If the person is certified, vehicle access is allowed. Else SMS will be sent to the owner and the engine will be immobilized. The prototype model for the security system is built on the embedded platform using PIC Microcontroller which controls all the processes and cost is also very stumpy. On higher end theft attempts like cutting battery power supply, protection to the vehicle is provided by Engine Control Unit (ECU) embedded on microcontroller. By using GPS technology, vehicle can be identified very easily. Thus, the system provides security at both levels, i.e. when battery supply is provided or not. © 2015 The Authors. Published by Elsevier B.V.","CONF","2015","Scopus",NA,"47","C","471","479","10.1016/j.procs.2015.03.231",NA
1101," "," "," "," ","security for smart mobile networks the nemesys approach","The growing popularity of smart mobile devices such as smartphones and tablets has made them an attractive target for cyber-criminals, resulting in a rapidly growing and evolving mobile threat as attackers experiment with new business models by targeting mobile users. With the emergence of the first large-scale mobile botnets, the core network has also become vulnerable to distributed denial-of-service attacks such as the signaling attack. Furthermore, complementary access methods such as Wi-Fi and femtocells introduce additional vulnerabilities for the mobile users as well as the core network. In this paper, we present the NEMESYS approach to smart mobile network security. The goal of the NEMESYS project is to develop novel security technologies for seamless service provisioning in the smart mobile ecosystem, and to improve mobile network security through a better understanding of the threat landscape. To this purpose, NEMESYS will collect and analyze information about the nature of cyber-attacks targeting smart mobile devices and the core network so that appropriate counter-measures can be taken. We are developing a data collection infrastructure that incorporates virtualized mobile honeypots and honeyclients in order to gather, detect and provide early warning of mobile attacks and understand the modus operandi of cyber-criminals that target mobile devices. By correlating the extracted information with known attack patterns from wireline networks, we plan to reveal and identify the possible shift in the way that cyber-criminals launch attacks against smart mobile devices. © 2013 IEEE.","CPAPER","2014","Web of Science",NA,NA,NA,NA,NA,"10.1109/PRISMS.2013.6927181",NA
1102," "," "," "," ","politics and history of violence and crime in central america","This book highlights historical explanations to and roots of present phenomena of violence, insecurity, and law enforcement in Central America. Violence and crime are among the most discussed topics in Central America today, and sensationalism and fear of crime is as present as the increase of private security, the re-militarization of law enforcement, political populism, and mano dura policies. The contributors to this volume discuss historical forms, paths, continuities, and changes of violence and its public and political discussion in the region. This book thus offers in-depth analysis of different patterns of violence, their reproduction over time, their articulation in the present, and finally their discursive mobilization. © The Editor(s) (if applicable) and The Author(s) 2017.","BOOK","2016","Scopus",NA,NA,NA,"1","330","10.1057/978-1-349-95067-6",NA
1103," "," "," "," ","deploying agents in the network to detect intrusions","Intrusion Detection in a network is defined as identifying activities which violate security policies. Traditional Intrusion Detection Systems (IDSs) are centralized in nature where a central node collects data from every node and detects whether any abnormal activity is taking place in the network. In our research we propose to use intelligent mobile agents to detect intrusions in a network. An agent is a piece of program which will execute specified operations on a node in a network. The agents act as guards which essentially roam the network periodically to check whether any node in the network is under attack. When an agent visits a node, it scans the log file to identify any abnormal activity taking place in that node. In our previous research we proposed algorithms for finding initial locations and roaming pattern of agents. In this research, we have built the prototype of an agent and deployed it in a virtual network to test its performance by simulating intrusions. We have also tested the performance of the prototype by deploying the agents on PlanetLab which is a testbed in the Internet connecting more than 1300 machines all over the world. From our experiments we have observed that the performance of the agent based intrusion detection system depends on the size and topology of the network. © 2015 IEEE.","CONF","2015","Scopus",NA,NA,NA,"83","87","10.1109/ICIS.2015.7166574",NA
1104," "," "," "," ","indexsupported pattern matching on symbolic trajectories","Recording mobility data with GPS-enabled devices, e.g., smart phones or vehicles, has become a common issue for private persons, companies, and institutions. Consequently, the requirements for managing these enormous datasets have increased drastically, so trajectory management has become an active research field. In order to avoid querying raw trajectories, which is neither convenient nor efficient, a symbolic representation of the geometric data has been introduced. A comprehensive framework for describing and querying symbolic trajectories including an expressive pattern language as well as an efficient matching algorithm was presented lately. A symbolic trajectory, basically being a time- dependent symbolic value (e.g., a label), can contain names of traversed roads, a speed profile, transportation modes, behaviors of animals, or cells inside a cellular network. The quality and efficiency of transportation systems, targeted advertising, animal research, crime investigation, etc. may be improved by analyzing such data. The main contribution of this paper is an improvement of our previous approach, featuring algorithms and data structures optimizing the matching of symbolic trajectories for any kind of pattern with the help of two indexes. More specifically, a trie is applied for the symbolic values (i.e., labels or places), while the time intervals are stored in a one-dimensional R-tree. Hence, we avoid the linear scan of every trajectory, being necessary without index support. As a result, the computation cost for the pattern matching is nearly independent from the trajectory size. Our work details the concept and the implementation of the new approach, followed by an experimental evaluation. Copyright 2014 ACM.","CONF","2014","Scopus",NA,"04-07-November-2014",NA,"53","62","10.1145/2666310.2666402",NA
1105," "," "," "," ","criminal act detection and identification model","In this paper, we are examining and analyzing human behavior model throughout reality data sources to extract patterns and clues of criminal and suspicious acts. Reality data composed of the digital traces people leave while interacting with computing devices. In this paper, we are focusing on data from people's interaction with social networks and mobile usage such as location markers and call logs. This work also introduces a model for detecting suspicious behavior based on social network feeds. It is based on classification model that can categorize a set of input actions and movements into three types of behavior, criminal, suspicious, or normal. The proposed system is expected to help crime analysts create faster and precise decisions.The model is expected to provide a behavior profile to help crime analysts in the process of crime prevention, understanding crime motivations, and proactive policing. © 2015 IEEE.","CPAPER","2016","Web of Science",NA,NA,NA,"79","83","10.1109/ACN.2015.30",NA
1106," "," "," "," ","ultrasound for crimp inspection","In copper wire, real time crimp monitoring has traditionally been based on force measurement during the crimp cycle. The force attributed to molding the copper wire into the terminal is a significant portion of the total force needed to form the crimp. Therefore, any wire deviation from the norm is translated into a force pattern aberration that can be detected using basic signal pattern analysis. As the mobility industry is contemplating replacing copper with aluminum wire, in order to save on weight and material cost, the traditional force monitoring becomes ineffective in detecting wire faults in the crimp. The reason is that aluminum is softer than copper, and most of the force exerted during the crimp cycle is consumed by forming the copper terminal itself. The small force deviation due to an aluminum wire fault becomes much more difficult to detect. Therefore, a new technique is needed to monitor crimped aluminum wires. In this paper, we investigate the feasibility of using ultrasound technology to monitor a crimp press cycle in order to separate a normal from a faulty crimp. Copyright © 2016 SAE International.","JOUR","2016","Scopus",NA,"9","3","1393","1397","10.4271/2016-01-0104",NA
1107," "," "," "," ","on the use of mobile gpu for accelerating malware detection using trace analysis","Malware detection on mobile phones involves analysing and matching large amount of data streams against a set of known malware signatures. Unfortunately, as the number of threats grows continuously, the number of malware signatures grows proportionally. This is time consuming and leads to expensive computation costs, especially for mobile devices where memory, power and computation capabilities are limited. As the security threat level is getting worse, parallel computation capabilities for mobile phones is getting better with the evolution of mobile graphical processing units (GPUs). In this paper, we discuss how we can benefit from the evolving parallel processing capabilities of mobile devices in order to accelerate malware detection on Android mobile phones. We have designed and implemented a parallel host-based anti-malware for mobile devices that exploits the computation capabilities of mobile GPUs. A series of computation and memory optimization techniques are proposed to increase the detection throughput. The results suggest that mobile graphic cards can be used effectively to accelerate malware detection for mobile phones. © 2015 IEEE.","CONF","2015","Scopus",NA,"2016-January",NA,"42","46","10.1109/SRDSW.2015.18",NA
1108," "," "," "," ","16th igu spatial data handling symposium sdh 2014","The proceedings contain 23 papers. The special focus in this conference is on Crowd-Sourcing GI, Network Analysis, Spatial Modelling, Statistical and Spatial Analysis. The topics include: Enriching navigation instructions to support the formation of mental maps; a classification of user contributions on the participatory geoweb; identifying locally- and globally-distinctive urban place descriptors from heterogeneous user-generated content; identifying optimal study areas and spatial aggregation units for point-based VGI from multiple sources; a general framework for event detection from social media; the uncertain geographic context problem in identifying activity centers using mobile phone positioning data and point of interest data; mining co-location patterns between network spatial phenomena; a method for evaluating the fitness-for-use of the network for navigation; revising self-best-fit strategy for stroke generating; a spatio-temporal decision support framework for large scale logistics distribution in the metropolitan area; local absolute vertical accuracy computation of wide-coverage digital terrain models; analyzing the influence of ethnic composition and immigrant residents on the spatial distribution of violent crime; an informed virtual geographic environment enhanced with qualitative and quantitative information for the geosimulations of zoonosis propagation; a stochastic method for the generation of optimized building layouts respecting urban regulations; spatial variation of privacy measured through individual uniqueness based on simple us demographics data and Monte Carlo-based analysis of the effect of positional and thematic uncertainties on biodiversity models.","CONF","2015","Scopus",NA,"19",NA,"1","319",NA,NA
1109," "," "," "," ","forensic laser scanning in hamburg forensic science","Using a terrestrial Laser Scanner is a well-established method for documenting crime scenes. Since 2009 this method is also used by the crime surveyors in Hamburg. The three dimensional measuring of crime scenes is providing a significant potential for investigating and reconstructing the crime. Beside the terrestrial Laser Scanning, the Hamburg crime surveyors are additionally operating two mobile handheld Scanners. The experience shows, that this is a very good method supplementing the terrestrial Laser Scanner and making the usage more flexible. Places difficult to scan, pattern of injuries or potential tools used for the crime are scanned by the Scanner DPI7 and the handheld mobile device Spider.","JOUR","2016","Scopus",NA,"141","4","241","243","10.12902/zfv-0114-2016",NA
1110," "," "," "," ","does the organized sexual murderer better delay and avoid detection","According to the organized–disorganized model, organized sexual murderers adopt specific behaviors during the commission of their crimes that contribute to avoiding police detection. The current study examines the effect of sexual murderers’ organized behaviors on their ability to both delay and/or avoid police detection. Using a combination of negative binomial and logistic regression analyses on a sample of 350 sexual murder cases, findings showed that although both measures of delaying and avoiding detection are positively correlated, different behavioral patterns were observed. For instance, offenders who moved the victim’s body were more likely to avoid detection but the victim’s body was likely to be recovered faster. Moreover, victim characteristics have an impact on both measures; however, this effect disappears for the measure of delaying detection once the organized behaviors are introduced. Implications of the findings are discussed. © The Author(s) 2014.","JOUR","2016","Web of Science",NA,"31","1","4","25","10.1177/0886260514555129",NA
1111," "," "," "," ","accurate specification for robust detection of malicious behavior in mobile environments","The need to accurately specify and detect malicious behavior is widely known. This paper presents a novel and convenient way of accurately specifying malicious behavior in mobile environments by taking Android as a representative platform of analysis and implementation. Our specification takes a sequence-based approach in declaratively formulating a malicious action, whereby any two consecutive security-sensitive operations are connected by either a control or taint flow. It also captures the invocation context of an operation within an app’s component type and lifecycle/callback method. Additionally, exclusion of operations that are invoked from UI-related callback methods can be specified to indicate an action’s stealthy execution portions. We show how the specification is sufficiently expressive to describe malicious patterns that are commonly exhibited by mobile malware. To show the usefulness of the specification, and to demonstrate that it can derive stable and distinctive patterns of existing Android malware, we develop a static analyzer that can automatically check an app for numerous security-sensitive actions written using the specification. Given a target app’s uncovered behavior, the analyzer associates it with a collection of known malware families. Experiments show that our obfuscation-resistant analyzer can associate malware samples with their correct family with an accuracy of 97.2 %, while retaining the ability to differentiate benign apps from the profiled malware families with an accuracy of 97.6 %. These results positively show how the specification can lend to robust mobile malware detection. © Springer International Publishing Switzerland 2015.","CONF","2015","Scopus",NA,"9327",NA,"355","375","10.1007/978-3-319-24177-7_18",NA
1112," "," "," "," ","on security and sparsity of linear classifiers for adversarial settings","Machine-learning techniques are widely used in securityrelated applications, like spam and malware detection. However, in such settings, they have been shown to be vulnerable to adversarial attacks, including the deliberate manipulation of data at test time to evade detection. In this work, we focus on the vulnerability of linear classifiers to evasion attacks. This can be considered a relevant problem, as linear classifiers have been increasingly used in embedded systems and mobile devices for their low processing time and memory requirements. We exploit recent findings in robust optimization to investigate the link between regularization and security of linear classifiers, depending on the type of attack. We also analyze the relationship between the sparsity of feature weights, which is desirable for reducing processing cost, and the security of linear classifiers. We further propose a novel octagonal regularizer that allows us to achieve a proper trade-off between them. Finally, we empirically show how this regularizer can improve classifier security and sparsity in real-world application examples including spam and malware detection. © Springer International Publishing AG 2016.","CONF","2016","Scopus",NA,"10029 LNCS",NA,"322","332","10.1007/978-3-319-49055-7_29",NA
1113," "," "," "," ","bridging the gap from biometrics to forensics","Biometric recognition, or simply biometrics, refers to automated recognition of individuals based on their behavioural and biological characteristics. The success of fingerprints in forensic science and law enforcement applications, coupled with growing concerns related to border control, financial fraud and cyber security, has generated a huge interest in using fingerprints, as well as other biological traits, for automated person recognition. It is, therefore, not surprising to see biometrics permeating various segments of our society. Applications include smartphone security, mobile payment, border crossing, national civil registry and access to restricted facilities. Despite these successful deployments in various fields, there are several existing challenges and new opportunities for person recognition using biometrics. In particular, when bio- metric data is acquired in an unconstrained environment or if the subject is uncooperative, the quality of the ensuing biometric data may not be amenable for automated person recognition. This is particularly true in crime-scene investigations, where the biological evidence gleaned from a scene may be of poor quality. In this article, we first discuss how biometrics evolved from forensic science and how its focus is shifting back to its origin in order to address some challenging problems. Next, we enumerate the similarities and differences between biometrics and forensics. We then present some applications where the principles of biometrics are being successfully leveraged into forensics in order to solve critical problems in the law enforcement domain. Finally, we discuss new collaborative opportunities for researchers in bio- metrics and forensics, in order to address hitherto unsolved problems that can benefit society at large. © 2015 The Author(s) Published by the Royal Society. All rights reserved.","JOUR","2015","Scopus",NA,"370","1674",NA,NA,"10.1098/rstb.2014.0254",NA
1114," "," "," "," ","crimanalyzer understanding crime patterns in so paulo","São Paulo is the largest city in South America, with crime rates that reflect its size. The number and type of crimes vary considerably around the city, assuming different patterns depending on urban and social characteristics of each particular location. Previous works have mostly focused on the analysis of crimes with the intent of uncovering patterns associated to social factors, seasonality, and urban routine activities. Therefore, those studies and tools are more global in the sense that they are not designed to investigate specific regions of the city such as particular neighborhoods, avenues, or public areas. Tools able to explore specific locations of the city are essential for domain experts to accomplish their analysis in a bottom-up fashion, Revealing how urban features related to mobility, passersby behavior, and presence of public infrastructures (e.g., terminals of public transportation and schools) can influence the quantity and type of crimes. In this paper, we present CrimAnalyzer, a visual analytic tool that allows users to study the behavior of crimes in specific regions of a city. The system allows users to identify local hotspots and the pattern of crimes associated to them, while still showing how hotspots and corresponding crime patterns change over time. CrimAnalyzer has been developed from the needs of a team of experts in criminology and deals with three major challenges: i) flexibility to explore local regions and understand their crime patterns, ii) identification of spatial crime hotspots that might not be the most prevalent ones in terms of the number of crimes but that are important enough to be investigated, and iii) understand the dynamic of crime patterns over time. The effectiveness and usefulness of the proposed system are demonstrated by qualitative and quantitative comparisons as well as by case studies run by domain experts involving real data. The experiments show the capability of CrimAnalyzer in identifying crime-related phenomena. © 2015 IEEE Computer Society. All rights reserved.","JOUR","2015","Scopus",NA,"14","8",NA,NA,"10.1109/TVCG.2019.2947515",NA
1115," "," "," "," ","catching up faster data in digital crime using mobile devices","Mass storage media are becoming increasingly common due to the spread of smartphones to which new technologies are applied. Correspondingly, the amount of data collected from digital crime has considerably increased. Previously, if an investigator did not properly conduct the initial response, valuable evidence would be lost. Thus, collection of digital evidence within a short time frame is required. Further, in searches using data from the smartphones to gather evidence, evidence must be collected and analyzed quickly. Therefore, in this paper, a method is proposed for rapidly collecting data at a crime scene based on the type of criminal charge. Once implemented, our method can collect data by accounting for each feature of the software, providing rapid results through a pattern search. There is also a range of options available with parallel routines. Single or multiple options can be utilized depending on the investigator’s requirements. © 2013, Springer Science+Business Media New York.","JOUR","2015","Web of Science",NA,"74","20","9007","9016","10.1007/s11042-013-1725-0",NA
1116," "," "," "," ","an nfc featured three level authentication system for tenable transaction and abridgment of atm card blocking intricacies","The flexible use of credit and debit card transactions has become increasingly ubiquitous and so have the associated vulnerabilities that make them a common target for cyber criminals. Furthermore, a prevalent complication associated with blocking of ATM cards involves tedious interactive processes and even possibly long waiting times during interaction with customer care services. Using a three factor authentication scheme employing NFC (Near Field Communication: an emerging technology evolved from a combination of contact-less identification and interconnection providing data exchange), Dash Matrix Algorithm and One-time password, we describe and quantify the potential to overcome common transaction liabilities (brute force attack, shoulder surfing, skimming of ATM cards, etc.). The auxiliary feature of blocking ATM cards is implemented using a QR code authentication scheme and NFC technology, implemented both in NFC enabled phones and non-NFC phones (with the help of an NFC transmitter, receiver and Bluetooth). The proposed system, therefore, ensures both secure usage of ATM cards and cost effectiveness by utility of novel and increasingly common technology, when also simultaneously proving to be user friendly. © 2015 IEEE.","CONF","2015","Scopus",NA,NA,NA,NA,NA,"10.1109/IEMCON.2015.7344491",NA
