"","select_reject_by (Wim/Christophe)","select_reject_by (Kural)","notes","title","abstract","year","authors","source_title","volume","issue","pages","doi","source","notes (Wim/Christophe)","notes kural"
"728"," "," "," ","automated machine learning prototype for detecting phishing deepfakes and fraudulent audio patterns a systematic literature mapping","the pervasiveness of cybercrime poses a significant threat to individuals and organizations worldwide, particularly in the realm of audio-based interactions. to combat this evolving threat landscape, this study delves into the application of artificial intelligence (ai), specifically machine learning techniques [1], to develop a prototype for mitigating cybercrime [2]. the prototype aims to address emerging threats such as phishing, deepfakes [3], and social engineering [4], which exploit audio signals and compromise personal data and security. © the author(s), under exclusive license to springer nature switzerland ag 2024.","2024","camargo j.a.t.; mellizo r.a.m.; narvaez j.j.c.","communications in computer and information science","2208 ccis",NA,"283-297","10.1007/978-3-031-75233-9_20","Scopus"," "," "
"729"," "," "," ","block clubs and crime in chicago the transplant hypothesis","prior research has emphasized the interconnection between community structure, civil society activism, and crime. yet, the statistical association between crime and block clubs, a key element in local networks of voluntary associations and mutual self-help, has not been previously examined in the literature. we collected cross-sectional data on block clubs and crime in chicago, illinois, and estimated a set of negative binomial and quantile regression models, while controlling for social disorganization, nearby block club and crime levels, residential population and area size. we found that block clubs are positively associated with both violent and property crime, and that the presence of nearby block clubs is associated with lower crime in communities that have disproportionately high levels of crime. the history of block club organizing in the city informs our transplant hypothesis: block clubs are transplanted in communities that have high crime levels. fostering block clubs in communities may enhance community organization, spur the development of informal social control, and institutionalize mobilization of resources to fight future crime. © 2024 elsevier ltd","2025","snowden a.j.; seligman a.i.; skogan w.g.","cities","158",NA,NA,"10.1016/j.cities.2024.105699","Scopus"," "," "
"730"," "," "," ","poisoning attack in machine learning based invalid ad traffic detection","along with the growing market of mobile advertising, click farm that leverages large-scale fake devices to conduct ad fraud is becoming a major threats against mobile advertising. these click farms evolve to mimic the usage patterns of normal users, which makes traditional rule-based detection methods unable to tackle with the new threats. to defeat these attacks, machine leaning-based (ml-based) approaches are adopted as a data driven method to detect invalid traffic from click farms by both industry and academia. however, the vulnerability of ml-based detection methods is still an open problem under the adversarial situation. in this study, we present a first study on the poisoning attack in ml-based ad fraud detection. by injecting poison samples to the training set, we demonstrate the effectiveness and concealment of the poisoning attacks under two machine learning models, gradient boosting decision tree (gbdt) and deep neural networks (dnns). we conduct experiments with a real-world data set, the results show that the poisoning attack can achieve 0.85 and 0.91 attack success rate for gbdt and dnns respectively. © the author(s), under exclusive license to springer nature singapore pte ltd. 2024.","2024","yu l.; li s.; meng y.; wang x.; zhu h.","communications in computer and information science","2063 ccis",NA,"60-72","10.1007/978-981-97-4519-7_5","Scopus"," "," "
"731"," "," "," ","5g based distributed information architecture for resilient microgrids","with potential disruptions caused by extreme weather events or cyber-attacks, microgrids can sustain critical services without relying on the utility grid as they offer flexible and resilient electric energy locally. this can be enabled by complete observability of the distributed network through reliable wireless communication. communication performance metrics such as latency, reliability, and throughput need to be analyzed to understand available resilient technologies for various applications of a distributed information system (dis). this paper evaluates the efficiency of 5g communication for time-sensitive applications such as coordinated under-frequency load shedding and cyber-attack detection during the island operation. the 5g communication is modeled that acts as the key factor for enhancing resiliency, monitoring microgrid dynamics, and detecting cyberattacks, and is tested on an ieee 13-node system. the analysis based on data traffic patterns and available radio channel conditions assesses the need and feasibility of the implementation of 5g communication for the dis. © 2024 ieee.","2024","sahani n.; liu c.-c.","proceedings of the ieee power engineering society transmission and distribution conference",NA,NA,NA,"10.1109/td47997.2024.10556173","Scopus"," "," "
"732"," "," "," ","analysis of criminal travel routes considering concealment cognition 顾及隐蔽性认知的犯罪出行路线分析方法","the timely identification of potential criminal travel routes of key surveillance individuals is a crucial research focus for public security early warning systems. current studies often concentrate on the travel patterns and destination preferences of criminals, but there is a lack of research from the criminals' perspective, considering the built environment and road network structure to analyze their criminal travel routes. to address this gap, a spatiotemporal analysis approach is proposed, considering criminals' cognition of concealment. based on the principles of criminal psychology and rational choice theory, this paper categorizes the travel patterns of criminals under the cognition of concealment into two principles: ""the principle of minimal exposure risk"" and ""the principle of minimal travel cost"". firstly, the urban perceptual elements within a criminal's perceptual range, including safety and risk perception elements that bring exposure risks, are calculated and introduced into the choice degree model. the ""criminal choice degree of roads"" is proposed to measure the optimal local roads within a criminal's perceptual range. next, using the ""length of the route already traveled"" as the cost function and the ""criminal choice degree of roads"" within the perceptual range as the heuristic function, an improved heuristic algorithm is employed to calculate the overall optimal criminal travel route. finally, from the perspective of crime prevention and control, experiments are conducted to analyze the distribution of urban road choice degrees and the criminal travel routes of key personnel. by comparing the routes obtained by this method with those derived from existing methods and actual criminal travel routes, it is shown that the routes calculated by this proposed method are more reasonable. they are more likely to be chosen by criminals for concealment and have relatively short travel distances, without long-term exposure in public areas. the routes, in terms of distance, travel time, and the urban perceptual elements they pass through, are closer to the actual travel behaviors of criminals, verifying the rationality of this method. the research conclusion provides decision support for public security early warning efforts, emphasizing the importance of balancing travel distance and exposure risk when monitoring key personnel, and the need to allocate resources based on the distribution of urban perceptual elements and road networks to enable timely and accurate crime prevention and interception. © 2024 science press. all rights reserved.","2024","ding z.; lin y.; li c.; zhao x.; zhang x.","journal of geo-information science","26","11","2483-2492","10.12082/dqxxkx.2024.240373","Scopus"," "," "
"733"," "," "," ","computer aided mobility solutions machine learning innovations to secure smart urban transportation","this study introduces a groundbreaking hybrid deep learning intrusion detection system (ids) tailored to improve the security of electric vehicle (ev) charging processes in the context of computer-aided mobility solutions for smart urban transportation. the proposed system ingeniously integrates xgboost and convolutional neural network (cnn) technologies, leveraging their combined strengths to fortify the resilience of ev charging infrastructure. in response to the demand for transparency in decision-making, our approach incorporates explainable ai techniques, specifically employing shapley additive explanations (shap) values. this not only enables the ids to identify anomalous behavior but also provides clear insights into the features influencing the detection process. the transparency achieved is pivotal for fostering stakeholder trust, ensuring regulatory compliance, and facilitating well-informed decision-making within the dynamic landscape of smart urban transportation. a sophisticated mechanism is implemented to enable the model to autonomously adjust and learn from evolving charging patterns over time. this adaptive capability ensures the ids remains effective in the face of changing charging behaviors, contributing to the resilience of the overall smart urban transportation system. this research not only propels the field of cybersecurity in smart urban transportation but also establishes a robust framework for the development of intelligent systems. these systems play a critical role in securing essential processes while providing interpretable insights for stakeholders in the realm of computer-aided mobility solutions. © 2024 elsevier ltd","2024","wu j.; yang r.; zhao p.; yang l.","sustainable cities and society","107",NA,NA,"10.1016/j.scs.2024.105422","Scopus"," "," "
"734"," "," "," ","crimmigration and re bordering in post hukou china","the chapter addresses the anomalies of chinese criminal legal work without creating a theoretical schism between the internal nature of law and the political ideology of the system. this chapter situates the crimmigration discussion in the context of the changing social dimensions of hukou, starting with the great internal migration in mid-1990s china. while this period saw the decline of hukou’s fundamental and essential role in governance, this chapter suggests that hukou has been mischaracterized by academics as well as commentators from china and the west. hukou should be seen neither as a form of institutional segregation, nor as an identification of citizen rights, nor as a rationalization of the past, nor as a tautological element of china’s uniqueness. this chapter reflects on a historical development of hukou and its function in social control. it investigates the linkages between hukou, patterns of crime, and criminal legal practices, and their effects on selectiveness and disparities in broader political, social, and economic spheres in china. this reflection supports an extended analysis of pragmatic aspects of each decision-making moment in the criminal justice system in terms of mobility control, namely, the re-bordering process in post-hukou china. © 2025 selection and editorial matter, josé a. brandariz, giulia fabini, cristina fernández-bessa and valeria ferraris; individual chapters, the contributors.","2025","ma t.","border criminologies from the periphery: cross-national conversations on bordered penality",NA,NA,"140-157","10.4324/9781003333166-10","Scopus"," "," "
"735"," "," "," ","video source identification using machine learning a case study of 16 instant messaging applications","in recent years, there has been a notable increase in the prevalence of cybercrimes related to video content, including the distribution of illegal videos and the sharing of copyrighted material. this has led to the growing importance of identifying the source of video files to trace the owner of the files involved in the incident or identify the distributor. previous research has concentrated on revealing the device (brand and/or model) that “originally” created a video file. this has been achieved by analysing the pattern noise generated by the image sensor in the camera, the storage structural features of the file, and the metadata patterns. however, due to the widespread use of mobile environments, instant messaging applications (imas) such as telegram and wire have been utilized to share illegal videos, which can result in the loss of information from the original file due to re-encoding at the application level, depending on the transmission settings. consequently, it is necessary to extend the scope of existing research to identify the various applications that are capable of re-encoding video files in transit. furthermore, it is essential to determine whether there are features that can be leveraged to distinguish them from the source identification perspective. in this paper, we propose a machine learning-based methodology for classifying the source application by extracting various features stored in the storage format and internal metadata of video files. to conduct this study, we analyzed 16 imas that are widely used in mobile environments and generated a total of 1974 sample videos, taking into account both the transmission options and encoding settings offered by each ima. the training and testing results on this dataset indicate that the extratrees model achieved an identification accuracy of approximately 99.96 %. furthermore, we developed a proof-of-concept tool based on the proposed method, which extracts the suggested features from videos and queries a pre-trained model. this tool is released as open-source software for the community. © 2024","2024","yang h.; kim j.; park j.","forensic science international: digital investigation","50",NA,NA,"10.1016/j.fsidi.2024.301812","Scopus"," "," "
"736"," "," "," ","acoustic signature analysis for distinguishing human vs synthetic voices in vishing attacks","cybercrimes targeting mobile devices are on the rise, with vishing and smishing attacks being particularly prevalent. these attacks exploit social engineering techniques to manipulate individuals into divulging personal information or engaging in unintended actions. to counter this evolving threat landscape, this research proposes a pioneering methodology rooted in voice feature analysis. by distinguishing between human and robotic voices, this approach aims to discern legitimate calls from potential scams, thereby mitigating the associated financial losses and reputational damage. the research delves into the intricacies of voice feature analysis, leveraging natural language processing (nlp) and machine learning (ml) techniques to extract and analyze audio attributes such as pitch, volume, and temporal patterns. the ultimate objective is to create a binary classification model that accurately differentiates between human voice calls and robocalls, incorporating a comprehensive dataset comprising actual call recordings and synthesized scenarios. this research advances beyond conventional practices by championing a holistic analysis of both human and robocalls, contrary to the prevalent assumption of robocalls exclusively constituting scams. the application of various audio features, coupled with nuanced weightage allocation, enhances the model's discernment capabilities. the resultant binary classifier is an exemplar of the innovative fusion of technology and human expertise. in conclusion, this research introduces a novel dimension to the combat against vishing and smishing attacks, with a robust voice feature analysis methodology capable of accurately identifying human and robotic voices. by effectively distinguishing legitimate calls from potential threats, this approach presents a promising avenue for safeguarding individuals and organizations against the far-reaching consequences of cybercrimes. the comprehensive analysis, validation, and insights presented in this paper contribute significantly to the field of cybersecurity and voicebased communication analysis.  © 2023 ieee.","2023","gamage p.; dissanayake d.; kumarasinghe n.; ganegoda g.u.","proceedings of icitr 2023 - 8th international conference on information technology research: the next evolution in digital transformation",NA,NA,NA,"10.1109/icitr61062.2023.10382846","Scopus"," "," "
"737"," "," "," ","spatiotemporal evolution and formation mechanism of missing person incidents in the united states 美国失踪人口的时空格局演变与影响机制","the problem of missing persons is a major global challenge, which causes serious harm to their families and societies. for this study, we collected 9,193 u.s. missing-persons records for the years 1996-2021 from the doe network platform. we used mathematical statistics and moran's i index to analyze the sociodemographic characteristics, spatio-temporal distribution and its evolution patterns. then the geodetector was applied to conduct an in-depth analysis of the influencing factors in socio-cultural, economic and demographic aspects. based on above findings, a sociological theory of the formation mechanism of the missing-person phenomenon in the united states was proposed. major findings included: (1) with age increasing, the number of missing persons initially increased and then dropped gradually. the highest missing rate was found among adolescents (13-18 years old) and adults (19-59 years old). although more males than females were reported missing, the high-incidence period of males lagged slightly behind that of females. the high missing rate among adolescent females was linked to sexual crimes, including sex trafficking and rape, while that of adult men tended to be caused by family discord or debt problems. among racial groups, black people faced the greatest risk of going missing. (2) from 1996, the number of missing-person incidents initially showed a wave upward trended and then fell sharply, after peaking in 2017, because of a series of immigration regulations. in 2020, it declined dramatically again, due to covid-19. influenced by the temperature, school holidays, and festivals, most people were reported missing during the months of june, august, and december. only few missing incidents happened between february and april. (3) spatially, at the state level, the missing population distribution decreased from the coastal border area to the inland area; over time, areas with a great number of missing-person incidents advanced simultaneously from the eastern and western coastal areas and the southern us-mexico border to us inland areas. at the county level, they were concentrated on the edge and scattered internally. (4) missing-person incidents were caused by the interaction of multiple factors; regional population mobility, fertility rate, and the number of vulnerable people had a positive impact on numbers of missing people, while per capital gdp had a negative impact. the power of population-based environmental factors was significantly enhanced after be interacted with social and economic factors, on explaining the missing-person spatial distribution, all of which were above 80%. (5) the underlying mechanism of missing-person incidents could be understood from the perspective of ""social anomie"". in other words, the disconnect between social goals and means led to social anomie, which then induced deviant behavior, including abduction, murder, and running away from home, increasing the likelihood of missing-person incidents. finally, we offered suggestions for disappearance prevention and further study directions. the findings provided a basic understanding of the missing-person phenomenon, contributing to global scientific information, which could aid in preventing missing-person incidents. © starobulgarska literatura 2022.","2022","zhe l.; gang l.; junjun z.; jinlong s.; feng x.; yingying w.","tropical geography","42","9","1475-1487","10.13284/j.cnki.rddl.003545","Scopus"," "," "
"738"," "," "," ","a machine learning based framework for detecting credit card anomalies and fraud","expeditious growth in e-commerce has emerged in an increasing number of online shopping societies. these shoppers rely on credit cards as a payment method or use a mobile wallet for their purchases. thus, credit cards have become the main payment method in the e-world. given the many transactions that occur daily, criminals propose tremendous opportunities to find different ways of attacking and stealing credit card information. fraudulent credit card transactions are a serious business issue. these types of scams can result in significant economic and personal losses. as a result, businesses are increasingly devoted to developing new ideas and methods for detecting and preventing fraud, as well as acquiring their customer's trust and protecting their privacy. in recent years, learning algorithms have emerged as important in research fields aimed at developing solutions to this issue. in this paper, the proposed framework will develop a two-stage anomaly and fraud detection model that uses a strengthened anomaly clustering algorithm in the first stage to find fraud patterns in transactions. the second stage uses a learning classifier to detect fraud in transactions based on fraud patterns and clients' spending behavior. the transactions will be well balanced using hybrid sampling techniques to enhance the performance of the model. this framework also aims to optimize the learning classifier model, which will improve other existing models in terms of performance, computation time, and accuracy.  © 2023 ieee.","2023","alamri m.a.; ykhlef m.a.","2023 27th international conference on information technology, it 2023",NA,NA,NA,"10.1109/it57431.2023.10078528","Scopus"," "," "
"739"," "," "," ","exploring cyber investigators an in depth examination of the field of digital forensics","digital forensics, the field concerned with investigating digital devices and data for legal purposes, is a continually evolving discipline of utmost importance in the current digital era. this literature review provides a comprehensive analysis of digital forensics, tracing its historical development, exploring its methodologies and tools, examining the legal and ethical considerations involved, and predicting future trends. it emphasizes the ongoing growth and relevance of the field, serving as a crucial element in both cybersecurity and law enforcement. digital forensics not only uncovers enigmatic digital phenomena but also safeguards privacy, ensures the integrity of data, upholds the principles of justice, and delves into various types of digital evidence. in addition, it tackles the numerous difficulties and evolving patterns that influence the environment of this ever-changing discipline, clearing the path for inventive resolutions and methodologies.  © 2023 ieee.","2023","asasfeh a.; al-dmour n.a.; al hamadi h.; mansoor w.; ghazal t.m.","2023 ieee international conference on dependable, autonomic and secure computing, international conference on pervasive intelligence and computing, international conference on cloud and big data computing, international conference on cyber science and technology congress, dasc/picom/cbdcom/cyberscitech 2023",NA,NA,"84-88","10.1109/dasc/picom/cbdcom/cy59711.2023.10361449","Scopus"," "," "
"740"," "," "," ","3rd international conference on mobile radio communications and 5g networks mrcn 2022","the proceedings contain 56 papers. the special focus in this conference is on mobile radio communications and 5g networks. the topics include: predictive analysis of air pollutants using machine learning; machine learning techniques applied of land use—land cover (lulc) image classification: research avenues challenges with issues; crime analysis using computer vision approach with machine learning; natural language processing implementation for sentiment analysis on tweets; vlsi implementation of bch encoder with triple des encryption for baseband transceiver; design and implementation of image de-hazing using histogram equalization; improved hybrid unified power flow controller using fractional order pid controlled systems; optimized activation function-based sar ship detection; framework for implementation of smart driver assistance system using augmented reality; power-efficient hardware design of ecc algorithm on high performance fpga; a creative domain of blockchain application: nfts; sign language recognition using machine learning; an iot-based health monitoring system for stress detection in human beings; iot-based driving pattern analysis and engine sensor damage prediction using onboard diagnostics; solving the element detecting problem in graphs via quantum walk search algorithm (qwsa); critical analysis of secure strategies against threats on cloud platform; pareto optimal solution for fully fuzzy bi-criteria multi-index bulk transportation problem; automatic candidature selection by artificial natural language processing; elimination and restoring deduplicated storage for multilevel integrated approach with cost estimation; vulnerability assessment of cryptocurrency wallet and exchange websites; greedy theory using improved performance prim’s algorithm, big bang speedup of the bellman–ford algorithm; performance analysis of high-speed optical communication systems under the impact of four wave mixing.","2023",NA,"lecture notes in networks and systems","588",NA,NA,NA,"Scopus"," "," "
"741"," "," "," ","the relationship between the network pattern based street spatial environment and crime of robberies and thefts with the former dp district of hs city as an example","as the spatial carrier of people's daily behaviors, the street network and behaviors therein constitute the main spatial environment of street network, which affects criminal behavior. previous studies have shown that there are frequent cases of robberies and thefts in the streets, and the street network pattern and routine activity subjects are both related to crime. however, there are few in-depth explorations of such a relationship. based on the police patrol area unit of the original dp district of hs city, this paper has adopted spatial analysis and statistical analysis methods to analyze the road network data, demographic data, mobile phone signaling data and other relevant data in order to explore the relationship between crime and street morphological characteristics including geometric and topological form, the relationship between crime and routine activity subjects including dynamic population and static population, and the impact of the street network on robberies and thefts. the results have shown that the factors affecting thefts and robberies in the street network are quite different. the factors affecting the theft crime are more complex. ""x-cell"" street network, road network density, road network permeability of low-speed traffic, static population density and dynamic population density all have an important impact on thefts. only the branch density has a negative effect, and the rest of the factors have a positive effect. ""t-cell"" street network, density of actual residents and migrants in static population are related to robberies. but the street network pattern has not shown a significant correlation with robberies. in general, the street networks with more main roads, better accessibility, higher population density, and higher population mobility are prone to thefts. the street networks with many migrants are prone to the robberies. in addition, the findings of this study can also make certain extensions to the crime pattern theory. since the accessibility of street network often brings risks, it is proposed at the end of the paper that it is imperative to consider how to reduce the crime risks as much as possible by regulating or improving the overall spatial environment of street network during the planning and construction of a safe street network environment in the future. © 2022, science press. all rights reserved.","2022","mao y.; li f.; yin l.; wang d.","dili yanjiu","41","11","2866-2883","10.11821/dlyj020220457","Scopus"," "," "
"742"," "," "," ","a review on the relationship between urban micro environment and theft","the disorders of urban micro-built and social environments (""urban microenvironment"", ume in short) are key factors that affect the spatial and temporal pattern and formation mechanism of theft, as well as the opportunity, cost and means of crime. to understand the spatio-temporal heterogeneity of their impact on theft is the core content of cpted and crime geography. this paper focuses on the progress on the link between ume and theft, systematically sorts out the characteristics of ume that affect the spatio-temporal differentiation of theft, and summarizes the measurements of ume. overall, four issues need to be addressed urgently: (1) at present, the ambient population variables calculated by using mobile phone data are mainly population size and mobility, while the micro-social environment has not been precisely depicted by population′s demographic attributes and social regularity. (2) there is a lack of systematic research on the integration of micro-social and built environment, which may lead to pseudo-correlation or irrelevance. (3) the localized empirical research of western criminological theories is not sufficient, and the theoretical connotation and concept are often difficult to be operated locally. the local knowledge generated by chinese empirical research is somewhat complementary and challenging to western criminological theories, but needs to be further ""conceptualized internationally"". (4) street view has been used for virtual audit of micro-built environment, but randomly selecting audit sites lacks pertinence, because it paid no heed to the spatial variation of micro-social environment. four avenues can be proposed for future research: (1) cooperating with the public security department, employing sensitive data to measure micro-scale population attributes and social regularity, expanding the extension of the concept of ""population at risk"", and accurately reflecting the micro-social environment. conducting theoretical and policy-oriented empirical research. (2) coupling micro-social and micro-built environment, and analyzing the inter-embedding basis and coupling path of the two micro-environments from the multidimensional theoretical levels of society, environment, and behavior. using ""big"" data to depict ""micro"" environment, and exploring the conditional interaction mechanism and scale dependence between the ume and theft. (3) grasping the theoretical connotation of criminology, taking into account the social context of chinese cities, and developing new possibilities for the local operationalization of the core concept of criminological theories. (4) developing remote, virtual, automated and intelligent built environment observation methods based on street view, and paying attention to targeted sampling and systematic integration research. © 2022, science press. all rights reserved.","2022","he l.; chen c.; wang z.; an p.; liu m.","dili yanjiu","41","11","2912-2931","10.11821/dlyj020220382","Scopus"," "," "
"743"," "," "," ","far right movements in the covid 19 era","far-right movements in different forms are gaining momentum around the world, especially in europe and the united states. though not new, the ideology appears to be manifesting in forms that are challenging to police or manage by security entities. this chapter explores the far-right movements and their intended goal which often makes mobilisation and violence inevitable and a common occurrence in europe. it further reviews far-right activities in the onset and immediate global response to the covid-19 pandemic outbreak with the aim to identify patterns, target groups, and impacts of covid-19 on far-right activities in europe. a conceptual review of data, publications, and reports on far-right movements since 2020 points to overlapping interactions between hate crime and extreme violence following a period of far-right online mobilisation, driven by the mission to deliver varied forms of national outcomes. findings reveal a correlation between covid-19 and far-right movements, especially mobilisation for the ideology using different online platforms. though less than anticipated attacks were carried out during the pandemic, the commitment to mobilise more adherents to the movements using covid-19-specific conspiracies provides strong links geared towards events that could endanger the security and safety of the public. the implications for public security as a whole, and for european union security policy and counter-terrorism, strategies are evaluated to highlight the limitations of current policy and strategies in preventing and mitigating the impacts of covid-19 which appears to be a game-changing event in the world and for the far-right movements which used the pandemic to innovate. © 2024 selection and editorial matter, erman akilli, burak güneş and ahmet gökbel.","2023","fakuade d.","diplomacy, society and the covid-19 challenge",NA,NA,"29-38","10.4324/9781003377597-4","Scopus"," "," "
"744"," "," "," ","sms phishing dataset for machine learning and pattern recognition","the reliability of the dataset is an essential factor for solving classification problems. data is required for training, testing, classification, and evaluation of the machine learning models. sms phishing (smishing) is a binary classification problem in which messages are categorized as malicious (smishing) or legitimate (ham). it is a fraudulent activity in which the attacker sends a malicious text message to the smartphone user that causes financial or personal loss to the victim. few research works have been proposed for the identification of smishing messages. according to the literature survey conducted, the smishing dataset is not publicly available yet. hence, we have composed a smishing dataset that contains smishing messages extracted from different internet sources. we have formulated a dataset of 5971 text messages that contain 638 smishing messages, 489 spam messages, and 4844 ham messages. this sms phishing dataset can be used for the extraction of smishing features and classification of text messages using machine learning algorithms. experimental evaluation of the dataset for smishing message categorization using keyword classification is also presented in this paper. this smishing dataset can be used as a baseline for future research work corresponding to sms phishing. © 2023, the author(s), under exclusive license to springer nature switzerland ag.","2023","mishra s.; soni d.","lecture notes in networks and systems","648 lnns",NA,"597-604","10.1007/978-3-031-27524-1_57","Scopus"," "," "
"745"," "," "," ","effects of population mobility and housing type on spatial pattern of urban burglary from the perspective of interaction","it has been found that the type of community housing has an important impact on the spatial pattern of burglary in urban areas. however, few scholars have explored the difference of the impact of different housing types in different degrees of population mobility on burglary. this study takes zg city, a coastal city in southeast china, as a research area. it is based on theories of routine activity theory, crime pattern theory, rational choice theory and social disorganization theory. this paper, taking community as the unit of analysis, adopts data of burglary, the sixth national census and point of interest (poi). the spatial lagged negative binomial regression method is used to analyze the impact of the interaction between community population mobility and housing types on the spatial pattern of burglary. among them, the population mobility factors were extracted based on the proportion of migrant population and the proportion of renting houses. the results show that population mobility has a significant positive impact on burglary rate. there is a significant positive effect of the proportion of owner-built housing on the rate of burglary, and the proportion of former public owned housing and commercial housing has a significant inhibitory effect on the burglary rate. in addition, the impact of affordable housing on burglary is not significant. the results of the interaction variables found that the interaction coefficients of population mobility with different types of housing variables are varied. among them, the interaction of population mobility with self-built housing, affordable housing and former public housing has a significant promoting effect on burglary rate, indicating that the higher the degree of population mobility, the greater the impact of these three types of housing on burglary. nevertheless, the interaction effect of population mobility and commercial housing is not significant. this study proves that population mobility can further mediate the effects of different types of housing on burglary, and suggests that we should pay attention to the impact of the degree of population mobility in the community where different types of housing are located when discussing the relationship between different types of housing and burglary. © 2022, science press. all rights reserved.","2022","song g.; li x.; xiao l.; liu l.; chen j.","dili yanjiu","41","11","2897-2911","10.11821/dlyj020220350","Scopus"," "," "
"746"," "," "," ","development of a mobile app to detect counterfeit currency using machine learning","counterfeit poses a serious threat to financial institutions and the global economy. this work introduces machine learning techniques that use image processing, pattern recognition, and classification algorithms to accurately identify false positives. these studies are based on analysis of real banknotes, their security features and counterfeiting techniques. images of real and fake invoices are carefully recorded to create robust data for training and testing learning models such as neural networks (cnn). image processing techniques such as edge detection and feature extraction improve the model's detection capabilities. the development model, evaluated in terms of efficiency, is integrated into a user-friendly interface and accepts cash register images as input. this solution aims to contribute to continuous efforts to combat fraud, providing a clear and effective way to protect financial institutions and increase business security.  © 2023 ieee.","2023","kadu r.k.; gupta p.; jain p.; nakade s.","proceedings of the 2023 6th international conference on recent trends in advance computing, icrtac 2023",NA,NA,"293-298","10.1109/icrtac59277.2023.10480844","Scopus"," "," "
"747"," "," "," ","guilloche detection for id authentication a dataset and baselines","in cases of digital enrolment via mobile and online services, identity documents (ids) verification is critical to efficiently detect forgery and therefore build user trust in the digital world. in this paper, we propose a copy-move public dataset, called fmidv (forged mobile id video dataset) containing forged ids with respect to guilloche patterns. also, we propose two fraud detection models on guilloche patterns of ids, which are based on contrastive and adversarial learning. in the sequel, each proposed model manages to read the entire id and to recognize the guilloche pattern to check its similarity to the pattern of an authentic id. the objective of the similarity check is to validate its authenticity or its rejection. experiments are conducted on midv and fmidv datasets to analyze and identify the most proper parameters to achieve higher authentication performance. the code and the dataset are available at https://github.com/malghadi/checkid. © 2023 ieee.","2023","al-ghadi m.; ming z.; gomez-kramer p.; burie j.-c.; coustaty m.; sidere n.","2023 ieee 25th international workshop on multimedia signal processing, mmsp 2023",NA,NA,NA,"10.1109/mmsp59012.2023.10337681","Scopus"," "," "
"748"," "," "," ","multi isotopes in human hair a tool to initiate cross border collaboration in international cold cases","unidentified human remains have historically been investigated nationally by law enforcement authorities. however, this approach is outdated in a globalized world with rapid transportation means, where humans easily move long distances across borders. cross-border cooperation in solving cold-cases is rare due to political, administrative or technical challenges. it is fundamental to develop new tools to provide rapid and cost-effective leads for international cooperation. in this work, we demonstrate that isotopic measurements are effective screening tools to help identify cold-cases with potential international ramifications. we first complete existing databases of hydrogen and sulfur isotopes in human hair from residents across north america by compiling or analyzing hair from canada, the united states (us) and mexico. using these databases, we develop maps predicting isotope variations in human hair across north america. we demonstrate that both δ2h and δ34s values of human hair are highly predictable and display strong spatial patterns. multi-isotope analysis combined with dual δ2h and δ34s geographic probability maps provide evidence for international travel in two case studies. in the first, we demonstrate that multi-isotope analysis in bulk hair of deceased border crossers found in the us, close to the mexico-us border, help trace their last place of residence or travel back to specific regions of mexico. these findings were validated by the subsequent identification of these individuals through the pima county office of the medical examiner in tucson, arizona. in the second case study, we demonstrate that sequential multi-isotope analysis along the hair strands of an unidentified individual found in canada provides detailed insights into the international mobility of this individual during the last year of life. in both cases, isotope data provide strong leads towards international travel. © 2022 bataille et al.","2022","bataille c.p.; ammer s.t.m.; bhuiyan s.; chartrand m.m.g.; st-jean g.; bowen g.j.","plos one","17","10 october",NA,"10.1371/journal.pone.0275902","Scopus"," "," "
"749"," "," "," ","spatial characteristics and influencing factors of the origin of telecommunication network fraud criminals 电信网络诈骗犯罪人来源地的空间分布特征及影响因素","telecom-network fraud is a complex and diversified social problem, which is related to people's well-being and social stability. with the data of china judicial documents network, using natural language technology of ai, combined with exploratory spatial data analysis and spatial econometric model, this paper systematically and deeply analyzes the spatial pattern and influencing factors of telecom-network fraud in china, based on the perspective of the source of crime. the research showed that: (1) the regional characteristics of the origin of the telecom network fraud are obvious, and the spatial pattern is“more in the north but less in the south, more in the east while less in the west, and more prominent in the middle”. meanwhile, the spatial spillover effect is different between the south and the north. hunan is the center of the south, and the spillover effect is outstanding. (2) the spatial choice of criminals is obviously different, the short-distance crime takes precedence over the medium- and long-distance crime, and the proportion of crimes in the province is much higher than that in other provinces. (3) although telecom- network fraud is characterized by non- contact, but the criminals do not randomly choose the victims, instead they target at special victims. the spatial clustering of the crime occurrence is remarkable. the hot areas of criminal cases and the hot areas where criminals come from are highly overlapping, and the developed coastal cities have also become the hot areas of telecom network fraud. (4) the influencing factors of the spatial pattern of the origin of the telecom network fraud are different. wage level, urbanization rate, education level, urban environment, urban administrative level have significant impacts on crime, but their mechanisms are different. based on the macro- scale, this study provides empirical evidence and scientific reference for crime prevention and control. © 2023 science press. all rights reserved.","2023","wu h.; wang q.; zheng z.","dili yanjiu","42","12","3219-3234","10.11821/dlyj020230154","Scopus"," "," "
