"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Crime and COVID-19: effect of changes in routine activities in Mexico City","","Estévez-Soto, Patricio R","Crime Science","Scholarly Journals","","10","1","2021-12-01","Dec 2021","","","","21937680","","","ENG","BackgroundThis study aimed to determine whether crime patterns in Mexico City changed due to the COVID-19 pandemic, and to test whether any changes observed were associated with the disruption of routine activities, as measured by changes in public transport passenger numbers.MethodThe first objective was assessed by comparing the observed incidence of crime after the COVID-19 pandemic was detected in the country with that expected based on ARIMA forecasts based on the pre-pandemic trends. The second objective was assessed by examining the association between crime incidence and the number of passengers on public transport using regressions with ARIMA errors.ResultsResults indicated that most crime categories decreased significantly after the pandemic was detected in the country or after a national lockdown was instituted. Furthermore, the study found that some of the declines observed were associated with the reductions seen in public transport passenger numbers. However, the findings suggested that the changes in mobility explain part of the declines observed, with important variations per crime type.ConclusionThe findings contribute to the global evaluation of the effects of COVID-19 on crime and propose a robust method to explicitly test whether the changes observed are associated with changes in routine activities.","https://www.proquest.com/docview/2546790641?accountid=11077&bdid=92773&_bd=TXVzhK52eu6A%2FQlwLPbXCX3fz3Q%3D","https://doi.org/10.1186/s40163-021-00151-y"
"Policing mobile criminality: implications for police forces in the UK","","Kirby, Stuart; Penna, Sue","Policing","Scholarly Journals","","34","2","2011-04-01","2011","182","","182-197","1363951X","","","ENG","Purpose - The purpose of this paper is to consider how the national intelligence model (NIM) of policing in Britain has been affected by changing patterns of mobility, since its inception in 2004. Design/methodology/approach - Conceptually, the paper draws on the ""new mobilities paradigm"". Empirically, it is based on a small, exploratory study, comprising analysis of investigations carried out over a three-month period in 2007 and 2008, by a serious and organised crime unit in a police force in England, and 11 interviews carried out in three police forces in England. The data are used for illustrative purposes only. Findings - It is argued that increased levels of mobile criminality are impacting significantly on British police forces, placing considerable strain on the practical structures which underpin the NIM, and posing serious challenges to operational efficiency and effectiveness. Originality/value - This paper makes a contribution by linking the social changes documented in the emergent social science field of ""mobilities study"" with changes in the organisation of criminality, particularly evident in the organisation of mobile criminality, which have presented routine opportunities for organised, transnational as well as ""lower level"" crime. Examining this phenomenon enables us to see that despite the attention paid to transnational policing in the organised crime literature, the burden of policing both organised and opportunistic crime continues to fall upon local police forces.","https://www.proquest.com/docview/868913484?accountid=11077&bdid=92773&_bd=9MHZkMn3CA52FRMimVDVIYOTauQ%3D","https://doi.org/10.1108/13639511111131030"
"The Importance of Space and Time in Aggravated Assault Victimization","","Breetzke, Gregory D","Journal of Interpersonal Violence","Scholarly Journals","","35","13-14","2020-07-01","Jul 2020","2536","2557","2536-2557","08862605","","","ENG","Interpersonal crimes such as aggravated assault greatly impacts upon an individuals’ sense of personal safety and security as the crime results in a physical injury. Understanding where and when aggravated assaults are most likely to occur is therefore vital to minimize the victimization risk associated with this crime. The main aim of this study is to explore the relative importance of space and time in aggravated assault victimization. This was done using national level aggravated assault data (2008-2010) obtained from New Zealand Police and census data from Statistics New Zealand. Both the spatial and temporal distribution of aggravated assault are outlined to examine their association with aggravated assault victimization. Aggravated assault is found to cluster in space but not in time. The relationships between aggravated assault risk in space and time and a suite of social, economic, and lifestyle variables was then examined. A clear socioeconomic gradient was found between aggravated assault risk by space and all neighborhood characteristics with high-risk neighborhoods having greater residential mobility and ethnic/racial diversity, as well as being more deprived, having higher rates of unemployment, and lower median household incomes. No clear pattern emerged between aggravated assault by time and the selected neighborhood characteristics. The policy implications of these findings in terms of policing and diversity conclude.","https://www.proquest.com/docview/2409515577?accountid=11077&bdid=92773&_bd=YC7g5dkeHAhTD%2FecJribC%2BgreIk%3D","https://doi.org/10.1177/0886260517704961"
"How Do You Lead in the Smart/Safe/Connected City Revolution?","","Surfaro, Steve","Security Technology Executive","Magazines","","28","5","2018-11-01","Nov/Dec 2018","22","26","22-26","19468474","","","ENG","Public Agency: * City Mayor's Office of Public Safety, Chief Innovation or Digital Strategy Officer, City Public Safety (Law Enforcement, Fire and EMS) Liaison, Homeland Security Liaison, Transportation Safety Manager, City Energy and Sustainability Officer * Office of the Chief Information Technology Officer or City Network Infrastructure Project Manager Wireless/Wired Infrastructure: * Primary Cellular or Wireless Service Provider, including 5G Service Rollout Provider(s) * Key members of Fixed Wireless Service Provider Ecosystem (Cyber Security, Mobile Device Authentication, Multi-Spectrum Radio Hardware Solution Provider) Solution Providers: * Fiber Optic Infrastructure/Internet Service Provider * Public Safety equipment solution provider for acoustic sensors, perimeter/area protection (LiDAR, Radar), surveillance cameras, venue entry screening * Transportation solution provider for pedestrian safety, vehicle/intersection communications (V2I), traffic and rail intersection safety, multi-modal public transportation safety and operations * Critical Infrastructure Providers, including Utilities/Energy, Water, Air Quality, Food Defense Private Facilities in Partnership: * Private corporation, B2B, healthcare, commercial, retail, property management, sports and entertainment venue, hospitality (hotels) working groups Systems Integrator: * Systems Integrator(s) delivering most or all the solutions in items (3) ~ (8) For a quick self-test, how many of the above are you already engaging?A recent report from Juniper Research[2] shows the potential to save smart city residents three weeks of time every year when smart technologies in the mobility, healthcare, public safety and productivity sectors are deployed. * Powered by AI, Public safety enables proactive policing of high crime areas and yield a savings of 35 hours [3] * Smart traffic systems, including dynamic traffic control and connected parking, will yield a mobility savings of 60 hours a year * Efficient delivery of city services will improve administrative productivity, saving residents 21 hours annually What Motivates Smart/Safe/ Connected City Leadership are Your Next Projects San Diego's 3,200 connected smart/safe city sensor nodes turn street lights into Intel processor-equipped sensor arrays with video surveillance, delivering realtime traffic management, smart parking, license plate recognition and pedestrian recognition.In 2016, the International City/County Management Association (ICMA) conducted a survey in partnership with the Smart Cities Council to discover Smart/ Safe/Connected City priorities, motivators, and barriers to smart technology adoption. (see charts 1 and 2) Almost half of the responding City Managers identified technologies serving the public safety technologies sector a top priority.Use Cases * City Network Surveillance Cameras * Mass Patient Monitoring * Acoustic Sensors, incl. gunshot detection, trajectory, ballistic data, incident location, crowd behavior) * Supply Chain, Logistics * Parking & vehicle presence sensors * Traffic Intersection safety sensors (LiDAR) eMBB (enhanced mobile broadband) This 5G Slice Supports: * Traffic can be a direct extension of the 4G broadband service * Characterized by large payloads and by a device activation pattern that remains stable over an extended time interval. * Objective of the eMBB service is to maximize the data rate while guaranteeing a moderate reliability with packet error rate (PER) on the order of 10-3 Use Cases * Smart Home * VR * AR, Immersive Education * Cloud Gaming * Streaming 4K and 3D Video Entertainment Content cMTC (critical Machine-Type Communications) This 5G slice features: * ultra-reliable, low latency and missioncritical communications for small payloads like alarm signals, mobile messaging, incident pictures and event video clips Use Cases Autonomous Vehicles, Smart Grid, UAS missions, Industrial Automation, Remote Surgery About the author:","https://www.proquest.com/docview/2155010594?accountid=11077&bdid=92773&_bd=3iJ6OpDDhDepoM%2FhS8ZTVYHkbNg%3D",""
"Predictive crime mapping","","Fitterer, J; Nelson, TA; Nathoo, F","Police Practice & Research","Scholarly Journals","","16","2","2015-04-01","2015","121","","","15614263","","","ENG","Geographic Information Systems (GIS) have emerged as a key tool in intelligence-led policing and spatial predictions of crime are being used by many police services to reduce crime. Break and entries (BNEs) are one of the most patterned and predictable crime types, and may be particularly amendable to predictive crime mapping. A pilot project was conducted to spatially predict BNEs and property crime in Vancouver, Canada. Using detailed data collected by the Vancouver Police Department on where and when observed crimes occur, the statistical model was able to predict future BNEs for residential and commercial locations. Ideally implemented within a mobile GIS, the automated model provides continually updated predictive maps and may assist patrol units in self-deployment decisions. Future research is required to overcome computational and statistical limitations, and to preform model validation.","https://www.proquest.com/docview/1657420182?accountid=11077&bdid=92773&_bd=rCKyCuE8yJ61CioUBh%2BdUMuhaLQ%3D",""
"Unstoppable? The Gap Between Public Safety and Traffic Safety in the Age of the Driverless Car","","Wolfe, Aristotle","Homeland Security Affairs","Scholarly Journals","","","","2017-03-01","Mar 2017","n/a","","","1558643X","","","ENG","Autonomous vehicles (AVs) are already driving on some of the nation’s streets and highways. This technology is advancing quickly and will likely diffuse rapidly throughout society. AVs are likely to reduce traffic collisions and prevent motorist deaths, but only if those motorists become passengers, not drivers, thus eliminating human error as a traffic safety hazard.With the traffic safety benefits of the AV, there will be little need for the traffic enforcement conducted by police and highway patrol agencies across the country today. Yet traffic stops are the most common form of face-to-face contact between police officers and citizens, and traffic enforcement has been a form of crime detection, deterrence and disruption in this country since the dawn of the conventional automobile.[1] This research examines the rising use of AV technology and its effects on police use of traffic enforcement to disrupt crime and terrorism. In doing so, it asks the following questions:* Once all cars drive themselves, what will the increase in traffic safety cost society in terms of public safety?* What can public safety and homeland security policymakers do about it?* RESEARCH DESIGNWhile AVs are not yet widely used, they are likely to become a disruptive innovation that will displace transportation industry jobs and eliminate the need for today’s traffic enforcement model. This phenomenon’s potential impact on public safety is not discussed in any known literature on AV technology, nor does it seem to be on the radar of police executives or public policymakers. The research addresses a potential gap in public safety that may be an unintended consequence of AVs’ traffic safety advantages.To illustrate that gap, traffic stops are examined through the lens of existing literature, including Bureau of Justice Statistics data, sociological and demographic studies, police and legal journals, and relevant case law. The impact of traffic enforcement on crime and public safety is described using existing published articles, as well as traffic stop case studies and subsequent criminal investigations. Related effects are expressed using a diffusion-of-innovations model and examples of plausible future scenarios. Theories on innovation in organizations, including government, are applied as potential means to bridge the foreseen gap between traffic safety and public safety after AV technology diffusion. Among these are signals theory and “nowcasting,” tools that innovators use to “predict the present” by reading signs that the convergence of technology and culture will require pivots in organizational strategic planning.[2]FINDINGSWhile it is impossible to accurately predict the rate of AV diffusion or how quickly such diffusion will affect traffic enforcement strategies, there is consensus that AVs will represent a significant part of the automotive market within the next ten to twenty years.[3] But from a nowcasting perspective, existing signals indicate that AV diffusion could happen much faster. These signals include: increased urbanization and associated traffic and parking congestion; permissive, even encouraging, regulatory environments such as Smart City initiatives; the popularity of vehicles with semiautonomous features; and the proliferation of disruptive innovations in transportation sectors such as Uber, Lyft and Zipcar.[4]While the timetable for change remains uncertain, AVs will reduce the need for police to enforce traffic laws, leading to a diminished capacity for police to detect and deter crime in the same ways they do today. Criminals may imagine ways to capitalize on reduced enforcement, leading to less detection of previously undiscovered crimes and criminals; decreased interdiction of crimes involving vehicles, such as drug smuggling and human trafficking; and the potential for terrorists to weaponize vehicles that can drive themselves with very little risk of being stopped by the police. Further disruptive technologies will require law enforcement and homeland security agencies to innovate in order to ensure public safety with diminished traffic enforcement capacity.ANALYSISIn order to avoid being overwhelmed by criminal exploitation of AV technology, policymakers—with leadership and guidance from law enforcement agency (LEA) executives—must not take a wait-and-see approach. LEAs must not leave public safety issues raised by AV proliferation to regulatory agencies—such as departments of transportation or motor vehicles—but must take the lead in anticipating and responding to them. To develop effective strategies, LEAs will have to collaborate with AV technology companies in the present to anticipate future public safety risks. Such collaboration could serve the goals of LEAs as well as industry. Safer products are more marketable products, and companies that work with law enforcement for the benefit of public safety may have an advantage over those that do not. Such discussions could help police discover problems they did not know existed and solutions they did not know were needed.Beyond new models of collaboration, new methods of policing and new types of police professionals may be required to keep future cities safe. Specifically, traffic agencies will have to pivot from traditional traffic enforcement to technology-based solutions to traffic safety and security. To do so, police professionals will have to imagine a different world—one without traffic enforcement as they know it—and envision how they want that world to look. In order to innovate on behalf of public safety, LEAs need to assert influence over, and adapt to, such a world starting now. They will also need to overcome cultural inertia—a resistance to change that is inherent to government, and to which their agencies are not immune.RECOMMENDATIONSAV technology is no longer nascent—it is here. To follow are practices LEAs can employ today, as well as courses policymakers can set toward a long-term public safety strategy for dealing with the unstoppable cars of tomorrow.*  Lead the Way1. LEAs with traffic responsibilities should become the subject matter experts on the impact of AV technology on public safety. Policymakers should rely on such expertise to mitigate related public safety threats. Traffic enforcement agencies should continue to leverage their expertise and reputations on matters involving the AV by:* Increasing their accident investigators’ and public information officers’ knowledge about AV technology.* Joining industry groups to engage with AV manufacturers on public safety issues.* Educating the public about semi- and fully autonomous technology.* Continuously evaluating AV and associated technologies for potential threats to public safety, as well as innovative solutions to such threats.*  Collect Data1. LEAs and other public agencies should begin collecting data about how AVs are used and how semi- and fully autonomous technology affects public safety. Collection methods should be evaluated and sources appropriately modified as technology changes and AV usage increases. Data sources should include, but not be limited to:* Traffic collision reports with check boxes that indicate levels of autonomy and whether autonomous features affected the outcome of the collision.* Crime reports that indicate if and how an AV was used in the crime.* Business licenses involving AV and related infrastructure technologies.* AV registration records.*  Incorporate Public Safety into Cyber-Physical Infrastructure1. Public safety organizations must be integrated into the cyber-physical infrastructures of the future. As vehicles become increasingly connected to everything, the related data production could lead to safer vehicle operation and could be used to detect and solve crimes. LEAs should engage with transportation agencies and city planners to maximize public safety and crime control opportunities. AVs should meet prescribed requirements in order to operate within certain infrastructures. Such requirements might include:* Scanners that evaluate vehicle sensor failure, software vulnerabilities, malware or hacks.* Software that ensures AVs yield or stop to signals sent by police and other emergency vehicles.* Electronic signatures that report vehicle registration information, commercial licensing and insurance status.* Preservation of data collected by cyber-connected sensors and software, license plate reader cameras, GPS signals or other means in order to track vehicles’ historical movements. Such data could have implications not just for solving known crimes or stopping crimes in progress, but for predictive policing methods associated with vehicles’ patterns of criminal activity.*  Legislate and Regulate1.1. The legality for police to use data collected from infrastructure will depend on how well lawmakers understand the relationship of traffic enforcement on crime detection and deterrence. If police and policymakers pay attention to the AV’s effect on this relationship early, they could create substitutes for the traffic stop as a crime-fighting tool. Now is the time to consider how public safety threats can be addressed through regulation, as companies will be eager to enter a burgeoning and lucrative market. Over the long term, AVs will change expectations of privacy on the highway, presenting policymakers with an opportunity to create a future that puts public safety first. Instead of judges deciding the legality of particular searches after the fact, legislators could consider issues of privacy and security, debate them openly, and pass laws that give clear search and inspection guidelines to police.*  Train and Hire for the Future1. Police agencies today must begin training and hiring for an uncertain future. While AV diffusion will affect the way many departments do business, it is unclear how long the change will take or how dramatic it will be. In order to position themselves for the future, police agencies will have to increase their traffic enforcement officers’ competencies. They must also become savvier about general law enforcement, especially as it relates to technology, as cyber-physical technology will become one of the crime-detection tools of tomorrow. Training considerations should include:* High-tech accident investigation training to help determine fault in vehicles with semi- and fully autonomous capabilities.* Advanced training in highway interdiction, including search and seizure training related to vehicle stops.* Increased general law enforcement training for agencies with a traffic enforcement focus to prepare for a pivot toward more traditional policing roles.Agencies should also consider hiring more law enforcement professionals for non-sworn positions that bring different skills to policing than uniformed officers—something that could become more relevant in a post-traffic enforcement environment. Such positions should be highly paid and respected within the agencies to ensure recruitment and retention of quality personnel with an interest in a long-term career. Existing positions that might be hired in increased numbers include:* Crime analysts.* Evidence and forensic technicians.* Computer forensics technicians.* Information and technology support staff.Some new positions to consider creating include:* Computer code programmers.* Cyber-security technicians.* Surveillance technicians.* Technology company liaison officers or technicians.* An agency futurist to advise LEA executives on emerging technology and its potential impact on the mission of the agency.* STOPPING THE UNSTOPPABLEHistorically, law enforcement has risen to challenges and adapted to new roles to meet those challenges. Traffic enforcement was one such challenge—a role that was never imagined by police in the years before the advent of the automobile. Prior to the 9/11 attacks, police did not consider themselves a bulwark against terrorism; yet, today, they are on the front line of the fight against it. In the years to come, the unstoppable AV will cause the role of traffic enforcement to change once again, but police will still be expected to fight crime and terrorism. Stopping the unstoppable will require innovation in crime detection and resistance to organizational inertia that denies such change is needed.[1] Lynn Langton and Matthew Durose, Police Behavior during Traffic and Street Stops, 2011 (NJC 242937) (Washington, DC: U.S. Department of Justice), 2, http://www.bjs.gov/content/pub/pdf/ pbtss11.pdf.[2] Amy Webb, The Signals are Talking (New York: PublicAffairs, 2016); Hyunyoung Choi and Hal Varian, “Predicting the Present with Google Trends,” Economic Record, 88 (June, 2012): 2–9.[3] Cadie Thompson, “Elon Musk Has a Stunning Prediction for What Cars Will be Like 10 Years from Now,” Business Insider, February 13, 2017, http://www.businessinsider.com/elon-musk-predicts-most-cars-will-be-driverless-in-10-years-2017-2; “Autonomous Vehicle Adoption Study,” Boston Consulting Group (BCG), accessed February 14, 2017, http://www.bcg.com/expertise/industries/automotive/ autonomous-vehicle-adoption-study.aspx.[4] Jeffrey Zients and John P. Holden, “American Innovation in Autonomous and Connected Vehicles,” the White House, December 7, 2015, https://www.whitehouse.gov/blog/2015/12/07/american-innovation-autonomous-and-connected-vehicles; Uber and Lyft are both taxi services coordinated by mobile technology with independently operated vehicles and contracted owner/drivers; Zipcar is an on-demand rental-car service cars are shared by many users via monthly membership and usage fees.","https://www.proquest.com/docview/2206252565?accountid=11077&bdid=92773&_bd=7QvyBgamNdnH9f3yF3MQDQdFHQ8%3D",""
"Eye Tracking to Evaluate Proficiency of Crime Scene Investigators with Varying Levels of Expertise: The Ability to Recognize Evidence and Understand its Significance","","Watalingam, Renuka Devi","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2016-01-01","2016","","","","","","978-1-369-43088-2","ENG","Crime scene analysts are the core of criminal investigations; decisions made at the scene greatly affect the speed of analysis and quality of conclusions that directly impact the successful resolution of a case. If an examiner does not recognize the pertinence of an item on scene, it cannot be used to support his or her theory regarding the crime. Conversely, unselective evidence collection will include irrelevant material, thus increasing a forensic laboratory's backlog and sending the investigation into an unproductive and costly direction. Therefore, it is critical that analysts recognize and properly evaluate forensic evidence that can support or disprove hypotheses and accurately reconstruct events. With this in mind, the aim of the study was to determine if quantitative eye tracking data and qualitative observations could be used to distinguish investigator expertise. In order to assess this, 32 participants were recruited and categorized as experts or trained novices based on their educational and practical backgrounds. Each volunteer then processed a mock crime scene while wearing a mobile eye tracker, wherein visual fixations, duration, search patterns and qualitative reconstruction accuracy were evaluated. Quantitative eye tracking data were compared using pursuit percentage on areas of interest (AOIs), Earth Mover's Distance (EMD) and the Needleman-Wunsch (N-W) algorithm. Results indicate significant group differences (Mann-Whitney U test,  α = 0:05) for two out of 14 AOIs selected for analysis in this study. In addition, significant group differences were also detected for both search duration on specific AOIs (EMD), as well as search sequence (N-W), wherein experts exhibited more dissimilar search durations, but more similar search sequences than their novice counterparts (with possible implications regarding hypothesis-based scene reconstruction). Finally, hierarchical and  k-means clustering based on multivariate AOIs suggest that latent variables may be present, which is the topic of future research. In addition to the quantitative visual comparisons, each participant's reconstruction skill was assessed using a 22-point binary system. Significant group difference (Mann-Whitney U test,  α = 0:05) was detected as a function of total reconstruction accuracy. However, the total number of cases processed does not correlate linearly (or well) with total reconstruction score. Equally of interest was the fact that canonical discriminant analysis (CDA) provided good group separability as a function of participant education (which was found to be more important for this cohort than professional development). Overall, results from this study found significant and interesting group differences, but likewise revealed the complexity associated with using gaze behavior as a means of assessing cognitive processes.","https://www.proquest.com/docview/1871696862?accountid=11077&bdid=92773&_bd=X5ZQX4zO%2B1KEXBxnNCaGXfIkyoQ%3D",""
"The spatial demography of reported crime: An examination of urban -rural crime articulation and associated spatio -temporal diffusion processes, U.S. 1990–2000","","Porter, Jeremy Reed","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2008-01-01","2008","","","","","","978-0-549-89218-2","ENG","Recently, increased attention has been given to the social and environmental context in which crimes occur (Wells & Weisheit 2004). This new interest in the human ecology of crime is largely demographic, both in terms of subject matter and increasingly in terms of the analytic methods used. Building on existing literature on the social ecology of crime, this study introduces a new approach to studying sub-county geographies of reported crime using existing census place and county definitions coupled with spatial demographic methods. Spatially decomposing counties into Census places and what Esselstyn (1953) earlier called ""open country,"" or non-places, allows for the development of a unique but phenomenological meaningful sub-county geography that substantively holds meaning in conceptualizing rural and urban localities in the demographic analysis of crime. This decomposition allows for the examination of core-periphery relationships at the sub-county level, which are hypothesized to act similarly to those at the national level (Agnew 1993; Lightfoot and Martinez 1995). Using 1990 to 2000 Agency-level UCR data within this approach, I propose to use spatial statistics to describe and explain patterns of crime across differing localities. Potential processes of spatial mobility in regards to the spread of criminal activity from places to non-place localities are also examined.  In order to adequately understand these spatial patterns of crime while testing the usability of the new place-level geography, several of the generally accepted theories of crime and a number of explanatory factors and covariates are tested. Furthermore, using this sub-county geography, significant patterns of spatial diffusion and contagion are through the implementation and modification of the spatio-temporal model, which provides the current point of departure and put forth by Cohen and Tita (1999). The results are promising and suggest a meaningful contribution to the ecological analysis of crime and the larger sub-discipline of spatial demography.","https://www.proquest.com/docview/304516182?accountid=11077&bdid=92773&_bd=L4ZhajGsrgUcNc8PparWxd9x3xc%3D",""
"Urban Mobility and Activity Space","","Cagney, Kathleen A; Cornwell, Erin York; Goldman, Alyssa W; Cai, Liang","Annual Review of Sociology","Scholarly Journals","","46","","2020-01-01","2020","623","","","03600572","","","ENG","Recent theoretical and methodological advances in urban sociology, including spatially located data, provide new opportunities to consider the joint influence of mobility and place in urban social life. This review defines the concept of activity space, describes its origins in urban sociology, and examines the extent to which activity space approaches advance sociological research in four substantive domains-spatial inequality and segregation, social connectedness and engagement, crime and offending patterns, and health and health-related behavior. It next describes the evolution of methods for location tracking and new approaches that hold promise for maximizing urban mobility and activity space contributions. It then discusses how location data may be augmented to enhance our sociological understanding of the structure, meaning, and implications of the places people visit or traverse in daily life. We close with new directions for activity space research, emphasizing how such work could enable comparative contextual research.","https://www.proquest.com/docview/2456878436?accountid=11077&bdid=92773&_bd=EnZKvgxeNuAo6aTt1xhEYNbvlrg%3D","https://doi.org/10.1146/annurev-soc-121919-054848"
"Stay at home if you can: COVID‐19 stay‐at‐home guidelines and local crime","","Díaz, Carlos; Fossati, Sebastian; Trajtenberg, Nicolás","Journal of Empirical Legal Studies","Scholarly Journals","","19","4","2022-12-01","Dec 2022","1067","1113","1067-1113","17401453","","","ENG","Government responses to the COVID‐19 pandemic had an unprecedented impact on mobility patterns with implications for public safety and crime dynamics in countries across the planet. This paper explores the effect of stay‐at‐home guidelines on thefts and robberies at the neighborhood level in a Latin American city. We exploit neighborhood heterogeneity in the ability of working adults to comply with stay‐at‐home recommendations and use difference‐in‐differences and event‐study designs to identify the causal effect of COVID‐19 mobility restrictions on the monthly number of thefts and robberies reported to police across neighborhoods in Montevideo (Uruguay) in 2020. Our results show that neighborhoods with a higher share of residents with work‐from‐home jobs experienced a larger reduction in reported thefts in relation to neighborhoods with a lower share of residents with work‐from‐home jobs. In contrast, both groups of neighborhoods experienced a similar reduction in the number of reported robberies. These findings cast light on opportunity structures for crime but also on how crime during the pandemic has disproportionately affected more vulnerable areas and households.","https://www.proquest.com/docview/2737219871?accountid=11077&bdid=92773&_bd=c%2BVahw8p0GqHkVRa7hf5bVKAxyw%3D","https://doi.org/10.1111/jels.12336"
"REASSESSING TRENDS IN BLACK VIOLENT CRIME, 1980-2008: SORTING OUT THE ""HISPANIC EFFECT"" IN UNIFORM CRIME REPORTS ARRESTS, NATIONAL CRIME VICTIMIZATION SURVEY OFFENDER ESTIMATES, AND U.S. PRISONER COUNTS","","Steffensmeier, Darrell; Feldmeyer, Ben; Harris, Casey T; Ulmer, Jeffery T","Criminology","Scholarly Journals","","49","1","2011-02-01","Feb 2011","197","","","00111384","","","ENG","Recent studies suggest a decline in the relative Black effect on violent crime in recent decades and interpret this decline as resulting from greater upward mobility among African Americans during the past several decades. However, other assessments of racial stratification in American society suggest at least as much durability as change in Black social mobility since the 1980s. Our goal is to assess how patterns of racial disparity in violent crime and incarceration have changed from 1980 to 2008. We argue that prior studies showing a shrinking Black share of violent crime might be in error because of reliance on White and Black national crime statistics that are confounded with Hispanic offenders, whose numbers have been increasing rapidly and whose violence rates are higher than that of Whites but lower than that of Blacks. Using 1980-2008 California and New York arrest data to adjust for this ""Hispanic effect"" in national Uniform Crime Reports (UCR) and National Crime Victimization Survey (NCVS) data, we assess whether the observed national decline in racial disparities in violent crime is an artifact of the growth in Hispanic populations and offenders. Results suggest that little overall change has occurred in the Black share of violent offending in both UCR and NCVS estimates during the last 30 years. In addition, racial imbalances in arrest versus incarceration levels across the index violent crimes are both small and comparably sized across the study period. We conclude by discussing the consistency of these findings with trends in economic and social integration of Blacks in American society during the past 50 years. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/855746861?accountid=11077&bdid=92773&_bd=KWTRMsmU7WcB2rpdAJqTIRd4hkQ%3D","https://doi.org/10.1111/j.1745-9125.2010.00222.x"
"Black Male Incarceration and the Preservation of Debilitating Habits of Judgment: An examination of Mississippi","","Hairston, Teah M.","ProQuest Dissertations and Theses","Dissertations & Theses","","","","2013-01-01","2013","","","","","","978-1-303-41321-6","ENG","The purpose of this research is to discover how mass incarceration and other historical methods of racialized social control in the South have preserved and reinforced habits of judgment that adversely affect the social mobility of Black males in Mississippi. A historical research method was employed to locate and analyze recurring themes of habitual judgment patterns justifying age-old systems of social control and how those patterns have influenced the current trend of Black male incarceration at disproportionate rates. Questionnaires were administered to professional employees from the Mississippi Department of Corrections (MDOC) in attempt to gather useful data about the socioeconomic backgrounds of the Black male inmate population and identify the key factors for their imprisonment. Theories of crime and deviance were applied to establish and identify relationships between recurring concepts found in existing literature and inferences made from data collected from questionnaires completed by MDOC employees. Findings suggest that disconnections from institutions because of discriminatory practices and social stratification, and the weakening of Black males' bonds to the very institutions of power that prevent crime (e.g., family, education, and employment) as a consequence of imprisonment, enable the reproduction of habits of judgment which manifest through popular culture (e.g., media, literature, etc.) rationalizing public concern. In turn, policies implemented to ensure public safety target disadvantaged Black communities, engender higher rates of arrest and incarceration, and facilitate a vicious cycle of crime and poverty preserving the socioeconomic inferiority of Black males in Mississippi.","https://www.proquest.com/docview/1445954108?accountid=11077&bdid=92773&_bd=sqAD%2FVGdIC6YygzxGDtP8CV3kBo%3D",""
"Small area variation in crime effects of COVID-19 policies in England and Wales","","Langton, Samuel; Dixon, Anthony; Farrell, Graham","Journal of Criminal Justice","Scholarly Journals","","75","","2021-07-01","Jul/Aug 2021","1","","","00472352","","","ENG","Purpose The aim of this study is to examine small area variation in crime trajectories during the COVID-19 pandemic in England and Wales. While we know how police-recorded crime responded to lockdown policies at the 'macro' level, less is known about the extent to which these trends were experienced uniformly at localized spatial scales. Methods Longitudinal k-means clustering is used to unpick local area variation in police notifiable offences across England and Wales. We describe the clusters identified in terms of their spatial patterning, opportunity structures and crime type profile. Results We find that in most small areas, crime remained fairly stable throughout the pandemic. Instead, a small number of meso-level areas contributed a disproportionately large amount to the macro-level trend. These were typically city centers with plentiful pre-pandemic crime opportunities, dominated by theft and shoplifting offences. Conclusion Findings offer support for opportunity theories of crime and for a mobility theory of crime during the pandemic. We explore potential implications for policy, theory and further research.","https://www.proquest.com/docview/2562924652?accountid=11077&bdid=92773&_bd=fAmc61TqMhP2qr4dU%2BGEMwQ4GgU%3D","https://doi.org/10.1016/j.jcrimjus.2021.101830"
