Title_Elicit,Year_Elicit,Authors_Elicit,Journal_Elicit,DOI_Elicit,Country,City_Region,Study_Area_Size,Study_Area_Description,Crime_Type,Crime_Types_All,Study_Period,Data_Sources,SUoA_Type,SUoA_Size_Elicit,SUoA_Description,Number_of_Units_Elicit,Population_per_Unit,SUoA_Justification,Study_Design,Statistical_Method,Model_Type,Software_Used,Sampling_Approach,Sample_Size_Elicit,Choice_Set_Definition,Estimation_Method,Total_Variables,Demographic_Vars,Economic_Vars,LandUse_Vars,Infrastructure_Vars,Distance_Vars,Crime_Opportunity_Vars,Social_Vars,Environmental_Vars,Temporal_Vars,Main_Results,Significant_Predictors,Model_Performance,Scale_Effects,Variable_Info_Quality,Missing_Information,Extraction_Confidence,Elicit_Index,Title_Original_Elicit,Authors_Original,Year_Original,Citation_Count,Venue
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING,2017,"Michael J Frith, Shane D Johnson, Hannah M Fry",,,United Kingdom,"High Wycombe, Beaconsfield, Marlow in Buckinghamshire",Approximately 150 km²,"Built-up areas of High Wycombe, Beaconsfield, and Marlow with a 1-km buffer",Residential burglary,,04/01/2004 to 03/31/2014,Thames Valley Police ## SPATIAL UNIT OF ANALYSIS (SUoA),Street segment,,Street segments within the study area,"5,286 street segments",,Street segments are a natural unit for studying crime as they reflect how people navigate their environment. ## METHODOLOGY,Cross-sectional,Mixed logit model,Discrete choice model,,,459 residential burglaries,,"Hierarchical Bayes ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - **ECONOMIC VARIABLES:** - **LAND USE VARIABLES:** - **INFRASTRUCTURE VARIABLES:** - **DISTANCE/ACCESSIBILITY VARIABLES:** - **CRIME OPPORTUNITY VARIABLES:** - **SOCIAL/BEHAVIORAL VARIABLES:** - **ENVIRONMENTAL VARIABLES:** - **TEMPORAL/CONTROL VARIABLES:** - **OTHER VARIABLES:** ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** - **Demographic Variables:** - **Economic Variables:** - **Land Use Variables:** - **Infrastructure Variables:** - **Distance/Accessibility Variables:** - **Crime Opportunity Variables:** - **Social/Behavioral Variables:** - **Environmental Variables:** - **Temporal/Control Variables:** - **Other Variables:** ## KEY FINDINGS - **Main Results:** The study supports crime pattern theory and Newman's concept of defensible space, indicating that nonlocal pedestrian traffic increases burglary risk while local pedestrian traffic decreases it. - **Significant Predictors:** Nonlocal pedestrian traffic, local pedestrian traffic - **Model Performance:** - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium",0,0,0,0,0,0,0,0,0,0,"The study supports crime pattern theory and Newman's concept of defensible space, indicating that nonlocal pedestrian traffic increases burglary risk while local pedestrian traffic decreases it. - **Significant Predictors:** Nonlocal pedestrian traffic, local pedestrian traffic - **Model Performance:** - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium","Nonlocal pedestrian traffic, local pedestrian traffic - **Model Performance:** - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium", - **Scale Effects:** ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium, ## DATA QUALITY NOTES - **Variable Information Quality:** Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium,Partial - **Missing Information:** Some variable details and data sources not specified - **Extraction Confidence:** Medium,Some variable details and data sources not specified - **Extraction Confidence:** Medium,Medium,36,ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,"Michael J Frith, Shane D Johnson, Hannah M Fry",2017,63,CrimRxiv
Modelling taste heterogeneity regarding offence location choices,2019,Michael J Frith,Not mentioned,Not mentioned,UK,York,Approximately 270 km²,"The city of York, UK",Serious acquisitive crime,,April 2008 to March 2012,Recorded and solved SAC data; Ordnance Survey; 2011 UK Census; UK Land Registry --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Neighbourhoods (output areas),Not specified in exact units,Smallest units for which study variables are available,Not mentioned,Not mentioned,Based on availability of variables and spatial granularity --- ## METHODOLOGY,Cross-sectional,Discrete choice modeling,"Conditional logit, mixed logit, latent class logit",Stata 14,Not explicitly mentioned,"1,105 offence location choices by 498 offenders",Offenders choosing from neighbourhoods within York,"Maximum likelihood, expectation-maximization, hierarchical Bayes --- ## COMPLETE INDIVIDUAL VARIABLE LIST",8,0,1,0,0,2,1,3,0,0,Preference heterogeneity exists among offenders; LCL and ML models fit data better than CL model.,"Distance, distance to city centre, ethnic heterogeneity, residential churn, socioeconomic heterogeneity, previous offence location.",LCL and ML models fit data approximately 4.5 times better than CL model.,Not explicitly mentioned --- ## DATA QUALITY NOTES,Complete,"Journal name, DOI, filename, number of spatial units, population per unit",High,37,Modelling taste heterogeneity regarding offence location choices,Michael J Frith,2019,13,Journal of Choice Modeling
Graffiti Writers Choose Locations That Optimize Exposure,2024,"K Kuralarasan, Wim Bernasco, Christophe Vandeviver",Not mentioned,Not mentioned,Belgium,Ghent,Not mentioned,Ghent city center,Graffiti writing,,November 2017,Systematic Social Observation (SSO) ## SPATIAL UNIT OF ANALYSIS (SUoA),Street segments,Not mentioned,Street segments in Ghent city center,"2,233",Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Conditional logit model,Discrete choice model,Not mentioned,Systematic Social Observation (SSO),"12,655 graffiti instances",Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **LAND USE VARIABLES:** 1. Bars | Presence of bars | Binary | SSO 2. Night shops | Presence of night shops | Binary | SSO 3. Residential units | Number of residential units | Count | SSO 4. Schools | Presence of schools | Binary | SSO - **INFRASTRUCTURE VARIABLES:** 1. Street network centrality | Betweenness centrality | Continuous | SSO - **ENVIRONMENTAL VARIABLES:** 1. Trees along the street | Number of trees | Count | SSO ## VARIABLE SUMMARY COUNTS,5,0,0,4,1,0,0,0,1,0,Graffiti writers prefer locations with high exposure and accessibility.,"Street network centrality, presence of bars, night shops, residential units, and schools.",Not mentioned ## DATA QUALITY NOTES,,Complete,"Study area size, population per unit, justification for SUoA choice, software used, estimation method details.",High,38,Graffiti Writers Choose Locations That Optimize Exposure,"K Kuralarasan, Wim Bernasco, Christophe Vandeviver",2024,1,Crime &amp; Delinquency
Modelling the spatial decision making of terrorists: the discrete choice approach,2019,Not specified,Not specified,Not specified,Northern Ireland,Belfast,Not specified,"Belfast, Northern Ireland",Terrorist attacks,,1969-1989,Provisional Irish Republican Army attack data ## SPATIAL UNIT OF ANALYSIS (SUoA),Small areas,Not specified,"Output areas in Belfast, Northern Ireland",890,Not specified,Not specified ## METHODOLOGY,Cross-sectional,Conditional logistic regression,Discrete choice model,STATA,Not specified,150 attacks by 127 PIRA members,Not specified,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **Distance/Accessibility Variables:** 1. Distance to target SA from home location | Distance in kilometers | kilometers | Geocoded data 2. Distance to city centre | Distance in kilometers | kilometers | Geocoded data - **Infrastructure Variables:** 1. Presence of major road | Binary indicator | binary | Ordnance Survey of Northern Ireland 2. Presence of military base or police station | Binary indicator | binary | Conflict and Politics in Northern Ireland web service - **Environmental Variables:** 1. River Lagan (natural barrier) | Binary indicator | binary | Geographical data ## VARIABLE SUMMARY COUNTS,5,0,0,0,2,2,0,0,1,0,"Distance from home decreases likelihood of area selection; presence of major roads, police stations, or military bases increases likelihood.","Distance, presence of major road, presence of military base or police station",McFadden pseudo-R² value of 0.178; likelihood-ratio test (p<0.001) ## DATA QUALITY NOTES,,Complete,Not specified,High,39,Modelling the spatial decision making of terrorists: the discrete choice approach,-,2019,21,Applied Geography
Spatial analysis with preference specification of latent decision makers for criminal event prediction,2006,"Yifei Xue, Donald E Brown",Not mentioned,Not mentioned,United States,"Richmond, VA",Not mentioned,"City of Richmond, VA",Residential breaking and entering,,"July 1, 1997 - October 31, 1997","Regional Crime Analysis Program (ReCAP), criminal incident reporting mainframe system (RAMS) ## SPATIAL UNIT OF ANALYSIS (SUoA)",Grid cell,2517 regular grids,Aggregated alternatives using regular grids,2517,Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Discrete choice theory,Multinomial logit,Not mentioned,Not mentioned,Over 1200 crime observations,Large alternative set with latent decision makers,Not mentioned ## COMPLETE INDIVIDUAL VARIABLE LIST,4,1,1,0,0,2,0,0,0,0,New spatial choice models outperform traditional hot spot methods.,"Distance to highway, family density, personal care expenditure, distance to hospital.",Distinct spatial choice model significantly outperforms uniform spatial choice model and hot spot model. ## DATA QUALITY NOTES,,Complete,"Study area size, population per unit, justification for SUoA choice.",High,40,Spatial analysis with preference specification of latent decision makers for criminal event prediction,"Yifei Xue, Donald E Brown",2006,66,Decision Support Systems
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,Not mentioned,"Wim Bernasco, Stijn Ruiter, Richard Block",Not mentioned,Not mentioned,United States,Chicago,Not mentioned,City of Chicago,Street robbery,,1996 to 1998,"Chicago Police Department, U.S. Census, marketing research firm Nielsen ## SPATIAL UNIT OF ANALYSIS (SUoA)",Census blocks,"Median size of 19,680 m² (approximately 140 x 140 m)",Census blocks in the city of Chicago,"24,594",Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Discrete location choice models,Conditional logit model,Not mentioned,Sampling of alternatives technique,Not mentioned,Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,12,2,2,3,1,1,1,1,0,2,"Most location attributes do not significantly vary by time of day or day of the week, except for high schools which are more attractive during school hours.",Presence of high schools during school hours,Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,41,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,"Wim Bernasco, Stijn Ruiter, Richard Block",-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,42,Go where the money is: modeling street robbers' location choices,"Wim Bernasco, Richard Block, Stijn Ruiter",-,-,-
The usefulness of past crime data as an attractiveness index for residential burglars,2018,Aiko Hanayama; Shumpei Haginoya; Hiroki Kuraishi; Masakazu Kobayashi,Not mentioned,Not mentioned,Japan,Sendai City,Not mentioned,"Sendai City, Japan",Residential burglary,,2007-2015,Japanese national police register; 2010 Japanese national census ## SPATIAL UNIT OF ANALYSIS (SUoA),Grid cell,500 m x 500 m,"Grid cells in Sendai City, Japan","1,134",Not mentioned,Not mentioned ## METHODOLOGY,Cross-sectional,Discrete choice model,Conditional logit model,Not mentioned,Not mentioned,369 solved cases,Not mentioned,Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,7,4,0,0,0,1,2,0,0,0,"Residential burglars are attracted to areas near their residence, with many past residential burglaries, many residential units, and a higher proportion of single-family dwellings.","Distance from offender's residence, number of residential units, proportion of single-family dwellings, number of past residential burglaries, past residential burglary rate.",Not mentioned,Not mentioned ## DATA QUALITY NOTES,Complete,Not mentioned,High,43,The usefulness of past crime data as an attractiveness index for residential burglars,"Aiko Hanayama, | Shumpei Haginoya, Hiroki Kuraishi, Masakazu Kobayashi",2018,5,
Adolescent offenders' current whereabouts predict locations of their future crimes,2019,Wim Bernasco,PLOS ONE,10.1371/journal.pone.0210733,Netherlands,The Hague,Not specified,The Hague and its suburbs,Various property and violent crimes,,2008-2012,"Self-report questionnaires, space-time budget interviews, police records ## SPATIAL UNIT OF ANALYSIS (SUoA)",Grid cells,200x200m,Grid cells used to measure activity space and crime locations,4558,Not specified,Not explicitly mentioned ## METHODOLOGY,Longitudinal,Discrete spatial choice approach,Conditional logit model,Not specified,Two-wave panel study,843 adolescents,Not explicitly mentioned,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Age: Age of participants (12-13 and 15-16) - Gender: Gender of participants - Ethnic background: Ethnic background of participants - **LAND USE VARIABLES:** - Activity space: Locations frequently visited by participants - Prior crime locations: Locations where participants previously committed crimes - **CRIME OPPORTUNITY VARIABLES:** - Presence of businesses: Presence of catering and retail businesses in grid cells - **SOCIAL/BEHAVIORAL VARIABLES:** - Routine activities: Participants' daily routines and activities ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 5 - **Demographic Variables:** 3 - **Land Use Variables:** 2 - **Crime Opportunity Variables:** 1 - **Social/Behavioral Variables:** 1 ## KEY FINDINGS - **Main Results:** Offenders tend to commit crimes in and around their activity space and prior crime locations. - **Significant Predictors:** Activity space, prior crime locations, presence of businesses. - **Model Performance:** Not explicitly mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High",5,3,0,2,0,0,1,1,0,0,"Offenders tend to commit crimes in and around their activity space and prior crime locations. - **Significant Predictors:** Activity space, prior crime locations, presence of businesses. - **Model Performance:** Not explicitly mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High","Activity space, prior crime locations, presence of businesses. - **Model Performance:** Not explicitly mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High",Not explicitly mentioned. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High,,Complete - **Missing Information:** Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High,Some details on spatial unit justification and model performance metrics are not explicitly mentioned. - **Extraction Confidence:** High,High,44,Adolescent offenders' current whereabouts predict locations of their future crimes,Wim Bernasco,2019,21,PLoS ONE
"The UGent Institutional Repository is the electronic archiving and dissemination platform for all UGent research publications. Ghent University has implemented a mandate stipulating that all academic publications of UGent researchers should be deposited and archived in this repository. Except for items where current copyright restrictions apply, these papers are available in Open Access",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Belgium,East Flanders,"3,000 km²",Densely urbanized polycentric area with a population of approximately 1.5 million inhabitants distributed across 12 cities and 53 towns.,Burglary,,2006-2012,Belgian Federal Police; Belgian Land Registry --- ## SPATIAL UNIT OF ANALYSIS (SUoA),Residential properties,Individual houses,"Houses in East Flanders, Belgium","Approximately 500,000 residential properties",Not mentioned,To address the modifiable areal unit problem and reduce aggregation bias by using the smallest spatial unit available. --- ## METHODOLOGY,Cross-sectional,Discrete spatial choice model,Conditional logit model,R version 3.0.2 with ICTCE 5.5.0,Random sampling of alternatives,"40,916,200 decision-maker-by-alternative combinations",All residential properties in East Flanders,Maximum likelihood --- ## COMPLETE INDIVIDUAL VARIABLE LIST,5,0,0,0,0,0,5,0,0,0,"Burglars prefer terraced houses, houses without a garage, houses lacking central heating/air-conditioning, and houses close to their residences.","Construction type, garage presence, central heating/AC, distance to house.",McFadden pseudo R² = 0.15 --- ## DATA QUALITY NOTES,,Complete,"Publication year, authors, journal, DOI, filename not provided.",High,45,"The UGent Institutional Repository is the electronic archiving and dissemination platform for all UGent research publications. Ghent University has implemented a mandate stipulating that all academic publications of UGent researchers should be deposited and archived in this repository. Except for items where current copyright restrictions apply, these papers are available in Open Access",-,-,-,-
Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,2015,"Wim Bernasco, Scott Jacques",Not specified,Not specified,Netherlands,Amsterdam,Not specified,Red Light District and its neighboring area in downtown Amsterdam,Illicit drug dealing,,Not specified,"Interviews with dealers, systematic observations ## SPATIAL UNIT OF ANALYSIS (SUoA)",Street segments,Average length of 103 meters,Small enough to be overseen and overheard from a single point,262,Not specified,Detailed spatial scale of analysis ## METHODOLOGY,Cross-sectional,Multinomial logit model,Conditional logit,Not specified,Interviews and systematic observations,50 dealers,Not specified,"Not specified ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** - Age: Average age of dealers was 38.7 years - Gender: 96% male - Marital Status: Only 2 were married - Education: Many were school drop-outs - Employment: About one third were employed - Drug Use: 70% used cannabis daily, 30% used cocaine daily - **ECONOMIC VARIABLES:** - Income: Not specified - Business: Dealers' business activities - **LAND USE VARIABLES:** - Presence of retail and entertainment businesses - Accessibility: Number of connecting streets and alleys, presence of parking lots and public transport hubs - **INFRASTRUCTURE VARIABLES:** - Presence of police CCTV cameras - Police officers on foot or bike - Police cars - Police stations - **DISTANCE/ACCESSIBILITY VARIABLES:** - Distance to potential customers - **CRIME OPPORTUNITY VARIABLES:** - Potential customer density - Social control: Presence of formal and informal agents of social control - **SOCIAL/BEHAVIORAL VARIABLES:** - Dealers' perceptions of social control - **ENVIRONMENTAL VARIABLES:** - Physical disorder: Items of litter, graffiti tags, broken windows - **TEMPORAL/CONTROL VARIABLES:** - Time of day for observations ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** Not specified - **Demographic Variables:** 6 - **Economic Variables:** 1 - **Land Use Variables:** 2 - **Infrastructure Variables:** 4 - **Distance/Accessibility Variables:** 1 - **Crime Opportunity Variables:** 2 - **Social/Behavioral Variables:** 1 - **Environmental Variables:** 1 - **Temporal/Control Variables:** 1 - **Other Variables:** Not specified ## KEY FINDINGS - **Main Results:** Dealers prefer locations with high potential customer density but are not deterred by social control. - **Significant Predictors:** Potential customer density, social control - **Model Performance:** Not specified - **Scale Effects:** Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.",0,6,1,2,4,1,2,1,1,1,"Dealers prefer locations with high potential customer density but are not deterred by social control. - **Significant Predictors:** Potential customer density, social control - **Model Performance:** Not specified - **Scale Effects:** Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Potential customer density, social control - **Model Performance:** Not specified - **Scale Effects:** Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Not specified - **Scale Effects:** Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Street segments are too coarse as units of analysis. ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Complete for demographic and economic variables, partial for other categories. - **Missing Information:** Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","Study period, data sources, software used, estimation method. - **Extraction Confidence:** High for demographic and economic variables, medium for other categories.","High for demographic and economic variables, medium for other categories.",46,Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,"Wim Bernasco, Scott Jacques",2015,26,
Discrete choice analysis of spatial attack sites,2007,"Michael A Smith, Ae D E Brown, Donald E Brown",Not mentioned,Not mentioned,United States,"Richmond, VA",Not explicitly mentioned,City of Richmond,Breaking and entering,,1997,"Richmond City Records Management Center, GIS layers ## SPATIAL UNIT OF ANALYSIS (SUoA)",Grid cell,170m x 191m,Grid with 100 rows and 100 columns,"4,895",Not mentioned,Not explicitly mentioned ## METHODOLOGY,Cross-sectional,Multinomial discrete choice model,Multinomial logit,R software package,Random partition into training and test sets,637 distinct spatial selections,Grid cell centroids,"Maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST - **DEMOGRAPHIC VARIABLES:** 38 demographic profile variables aggregated at the census block group level - **ECONOMIC VARIABLES:** Not explicitly mentioned - **LAND USE VARIABLES:** Not explicitly mentioned - **INFRASTRUCTURE VARIABLES:** Not explicitly mentioned - **DISTANCE/ACCESSIBILITY VARIABLES:** Proximity measurements to each of 30 features - **CRIME OPPORTUNITY VARIABLES:** Not explicitly mentioned - **SOCIAL/BEHAVIORAL VARIABLES:** Not explicitly mentioned - **ENVIRONMENTAL VARIABLES:** Not explicitly mentioned - **TEMPORAL/CONTROL VARIABLES:** Not explicitly mentioned - **OTHER VARIABLES:** Not explicitly mentioned ## VARIABLE SUMMARY COUNTS - **Total Independent Variables:** 11 predictors used - **Demographic Variables:** 38 - **Economic Variables:** Not mentioned - **Land Use Variables:** Not mentioned - **Infrastructure Variables:** Not mentioned - **Distance/Accessibility Variables:** 30 features - **Crime Opportunity Variables:** Not mentioned - **Social/Behavioral Variables:** Not mentioned - **Environmental Variables:** Not mentioned - **Temporal/Control Variables:** Not mentioned - **Other Variables:** Not mentioned ## KEY FINDINGS - **Main Results:** Discrete choice models outperform hot spot models. - **Significant Predictors:** u30 (proximity measure), u66 (density measurement) - **Model Performance:** Discrete choice models dominate hot spot model. - **Scale Effects:** Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.",11,38,0,0,0,30,0,0,0,0,"Discrete choice models outperform hot spot models. - **Significant Predictors:** u30 (proximity measure), u66 (density measurement) - **Model Performance:** Discrete choice models dominate hot spot model. - **Scale Effects:** Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","u30 (proximity measure), u66 (density measurement) - **Model Performance:** Discrete choice models dominate hot spot model. - **Scale Effects:** Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","Discrete choice models dominate hot spot model. - **Scale Effects:** Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","Not explicitly mentioned ## DATA QUALITY NOTES - **Variable Information Quality:** Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","Complete for some variables, partial for others. - **Missing Information:** Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","Some details not explicitly mentioned. - **Extraction Confidence:** High for extracted information, medium for missing details.","High for extracted information, medium for missing details.",47,Discrete choice analysis of spatial attack sites,"Michael A Smith, Ae D E Brown, Donald E Brown",2007,16,Inf. Syst. E Bus. Manag.
Residential burglary target selection: An analysis at the property-level using Google Street View,2017,"Samuel H Langton, Wouter Steenbeek",Applied Geography,10.1016/j.apgeog.2017.06.014,Netherlands,The Hague,Not specified,Residential areas in The Hague,Residential burglary,,2009,The Hague Police Force; Google Street View ## SPATIAL UNIT OF ANALYSIS (SUoA),Individual residential properties,Not specified,Single-family homes in The Hague,300,Not specified,To isolate property-level effects ## METHODOLOGY,Case-control design,Conditional logistic regression,Conditional logistic regression,R,Case-control sampling,300,Not applicable,Conditional maximum likelihood ## COMPLETE INDIVIDUAL VARIABLE LIST,14,0,3,7,3,4,3,1,0,2,"Surveillability, accessibility, and ease of escape are positively related to burglary risk; no significant relationship with wealth.","Surveillability, accessibility, ease of escape",Conditional logistic regression model with significant improvement over baseline model (LR chi2(8) = 57.71; Prob > chi2 < 0.001),Not mentioned ## DATA QUALITY NOTES,Complete,None noted,High,48,Residential burglary target selection: An analysis at the property-level using Google Street View,"Samuel H Langton, Wouter Steenbeek",2017,40,
