"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Van Staden F.R.; Venter H.S.","Van Staden, F.R. (36648149300); Venter, H.S. (7005841055)","36648149300; 7005841055","Adding digital forensic readiness to electronic communication using a security monitoring tool","2011","2011 Information Security for South Africa - Proceedings of the ISSA 2011 Conference","","","6027537","","","","10","10.1109/ISSA.2011.6027537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053965343&doi=10.1109%2fISSA.2011.6027537&partnerID=40&md5=c2622fd9919386ab1ca8ab3eb6cc7aae","Electronic communication is used in our daily lives. One can receive email on a PC, Laptop or mobile phone. SMTP was designed to be an easy and cost-effective implementation. This fact, however, makes SMTP a target to be abused. Unsolicited electronic communication, also known as spam, is just one such example of abuse of email. Tracing the origin of spam by using the information contained in SMTP headers is not possible because SMTP is a clear text protocol and can easily be intercepted and modified. Digital forensic specialists are plagued with sifting through large data sets to find incident information. During the process of introducing digital forensic readiness the amount of information that is gathered is inadvertently increased, to ensure that the information is valid and usable. Drawing from the experience of digital forensic experts to find specific data subsets that prove or disprove that an incident occurred can be used to automate the analysis process. Data analysis tools are created for the purpose of sifting through data, looking for known data patterns, and storing these patterns as a subset of the original data. Monitoring tools have been used successfully to gather information pertaining to the performance of IT systems. Security monitoring tools have been designed to collect security information in order to detect security breaches within the IT system. An extension to the security monitoring tool is proposed to gather security and usage information with regard to electronic communication. The collected information is saved in a database for future analysis. © 2011 IEEE.","Digital forensic data analysis; Digital forensic readiness; Digital Forensics; gap-detection algorithm","Communication; Computer crime; Data reduction; Electronic crime countermeasures; Electronic mail; Information technology; Internet; Internet protocols; Laptop computers; Monitoring; Telecommunication equipment; Amount of information; Analysis process; Clear text; Daily lives; Data analysis tool; Data patterns; Data subsets; Digital forensic; Electronic communications; gap-detection algorithm; IT system; Large datasets; Monitoring tools; Security breaches; Security monitoring; Security of data","Conference paper","Final","","Scopus","2-s2.0-80053965343"
"Kiltz S.; Leich M.; Dittmann J.; Vielhauer C.; Ulrich M.","Kiltz, Stefan (23397542600); Leich, Marcus (36975637400); Dittmann, Jana (56157419800); Vielhauer, Claus (6602138719); Ulrich, Michael (37049480300)","23397542600; 36975637400; 56157419800; 6602138719; 37049480300","Revised benchmarking of contact-less fingerprint scanners for forensic fingerprint detection: Challenges and results for chromatic white light scanners (CWL)","2011","Proceedings of SPIE - The International Society for Optical Engineering","7881","","78810G","","","","8","10.1117/12.872362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953012483&doi=10.1117%2f12.872362&partnerID=40&md5=46658dc19b49b54fb6fa0ca5f742fccf","Mobile contact-less fingerprint scanners can be very important tools for the forensic investigation of crime scenes. To be admissible in court, data and the collection process must adhere to rules w.r.t. technology and procedures of acquisition, processing and the conclusions drawn from that evidence. Currently, no overall accepted benchmarking methodology is used to support some of the rules regarding the localisation, acquisition and pre-processing using contact-less fingerprint scanners. Benchmarking is seen essential to rate those devices according to their usefulness for investigating crime scenes. Our main contribution is a revised version of our extensible framework for methodological benchmarking of contact-less fingerprint scanners using a collection of extensible categories and items. The suggested main categories describing a contact-less fingerprint scanner are properties of forensic country-specific legal requirements, technical properties, application-related aspects, input sensory technology, pre-processing algorithm, tested object and materials. Using those it is possible to benchmark fingerprint scanners and describe the setup and the resulting data. Additionally, benchmarking profiles for different usage scenarios are defined. First results for all suggested benchmarking properties, which will be presented in detail in the final paper, were gained using an industrial device (FRT MicroProf200) and conducting 18 tests on 10 different materials.","Benchmarking; Contact-less optical sensors; Latent fingerprints","Algorithms; Benchmarking; Crime; Mobile devices; Optical sensors; Pattern recognition; Portable equipment; Technology transfer; Benchmarking methodology; Benchmarking property; Collection process; Contact-less optical sensors; Crime scenes; Extensible framework; Forensic investigation; Industrial devices; Latent fingerprints; Legal requirements; Localisation; Mobile contacts; Pre-processing; Pre-processing algorithms; Sensory technologies; Technical properties; Tested objects; Usage scenarios; White light; Scanning","Conference paper","Final","","Scopus","2-s2.0-79953012483"
"Farboodmanesh S.; Chen J.; Tao Z.; Mead J.; Zhang H.","Farboodmanesh, S. (8530602000); Chen, J. (57203334767); Tao, Z. (7201883967); Mead, J. (7201840121); Zhang, H. (57216241072)","8530602000; 57203334767; 7201883967; 7201840121; 57216241072","Base fabrics and their interaction in coated fabrics","2010","Smart Textile Coatings and Laminates","","","","42","94","52","3","10.1533/9781845697785.1.42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904147950&doi=10.1533%2f9781845697785.1.42&partnerID=40&md5=8f7f5b391b324257767b5aeb72aa0a6d","This chapter discusses the complex interaction between fabric architecture, coating, and mechanical response. A brief introduction to fabrics and test methods is provided. Picture frame experimental studies and modeling studies are used to explore the effect of yarn mobility (i.e., fabric weave pattern, yarn size and spacing, and coating penetration) on shear behavior. Similarly, trouser tear experiments demonstrate the effect of del zone yarn mobility on tear strength. Finally, more representative coated fabric finite element models are addressed through discussion of distinctive factors such as crimp effect, locking angle, and coating adhesion. © 2010 Woodhead Publishing Limited. All rights reserved.","Coating thickness and penetration; Fabric and coating interaction; Finite element analysis (FEA); Shear and tear deformation; Textile architecture","Coatings; Locks (fasteners); Protective coatings; Shear flow; Testing; Thickness measurement; Weaving; Wool; Yarn; Coating adhesion; Coating penetration; Coating thickness; Fabric architectures; Mechanical response; Picture frames; Shear behavior; Weave patterns; Finite element method","Book chapter","Final","","Scopus","2-s2.0-84904147950"
"Guo Y.; Simon M.","Guo, Yinghua (56137498400); Simon, Matthew (56007866100)","56137498400; 56007866100","Network forensics in MANET: Traffic analysis of source spoofed DoS attacks","2010","Proceedings - 2010 4th International Conference on Network and System Security, NSS 2010","","","5636104","128","135","7","10","10.1109/NSS.2010.45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650343100&doi=10.1109%2fNSS.2010.45&partnerID=40&md5=13cf43a60ec7962e6dc1eec980f55e8c","The process of analyzing available network forensics evidence to determine their meaning and significance can be very involved. It is often necessary to develop a timeline of significant events to obtain an overview of what occurred, to create relational diagrams showing which users are connected to which systems, or to correlate and analyze data to find noteworthy patterns of network traffic. However, there is a lack of statistical analysis of network traffic for security incident determination, especially the Denial of Service (DoS) attack in mobile ad hoc network (MANET). In this work, we focus on the ""analysis"" part of network forensic investigation. Specifically, we study one type of DoS attack, called distributed DoS (DDoS) flooding attack in MANET. We present a quantitative model to characterizes this attack and its traffic statistics. We also propose an analytical model for looking for specific patterns of the attack traffic, aiming to achieve: (1) Determine if there is an anomaly in the traffic and whether the anomaly is the DDoS attack (2) Determine the time when the attack is launched. © 2010 IEEE.","DDoS attack; MANET; Network forensics; Traffic analysis","Computer crime; Mathematical models; Mobile ad hoc networks; Traffic surveys; Analytical model; Attack traffic; DDoS Attack; Denial of service attacks; Distributed DoS; DoS attacks; Flooding attacks; MANET; Network forensics; Network traffic; Quantitative models; Security incident; Statistical analysis; Traffic analysis; Traffic statistics; Network security","Conference paper","Final","","Scopus","2-s2.0-78650343100"
"Pires S.; Clarke R.V.","Pires, Stephen (37049313300); Clarke, Ronald V. (7403070646)","37049313300; 7403070646","Are parrots craved? an analysis of parrot poaching in Mexico","2012","Journal of Research in Crime and Delinquency","49","1","","122","146","24","170","10.1177/0022427810397950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856773684&doi=10.1177%2f0022427810397950&partnerID=40&md5=8e26a6d48b77976fb9cf4049aae11c91","Poaching significantly contributes to the endangerment of protected wildlife but has rarely been studied by criminologists. This study examines whether CRAVED, a general model of theft choices drawn from routine activity and rational choice theory, can help to explain parrot poaching. It correlates estimates of the numbers poached for the 22 species of Mexican parrots with measures of CRAVED components (concealable, removable, available, valuable, enjoyable, and disposable). Widely available species and those whose chicks are easily removable from the nest are more commonly poached, a pattern suggesting that most poachers are opportunistic villagers. More valuable/disposable and more enjoyable species are rarely taken because few remain in the wild after being heavily poached for export in the 1980s. Apart from helping to explain parrot poaching and consider conservation options, the application of CRAVED suggested a possible contribution to understanding theft choices. This was that ""abundant"" and ""accessible"" might replace ""available."" © SAGE Publications 2012.","crime; criminological theory; GIS; prevention; rational choice theory; routine activity theory; wildlife crimes","","Review","Final","","Scopus","2-s2.0-84856773684"
"Walton M.; Pallitt N.","Walton, Marion (7101916725); Pallitt, Nicola (55293685700)","7101916725; 55293685700","'Grand Theft South Africa': Games, literacy and inequality in consumer childhoods","2012","Language and Education","26","4","","347","361","14","22","10.1080/09500782.2012.691516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863445110&doi=10.1080%2f09500782.2012.691516&partnerID=40&md5=70979356bc1b410ac15c51581d0a782c","Discussions of 'game literacy' focus on the informal learning and literacies associated with games but seldom address the diversity in young people's gaming practices, and the highly differentiated technologies of digital gaming in use. We use available survey data to show how, in South Africa, income inequalities influence consumption patterns, shaping experiences of digital games. Two case studies of young people's play practices involving digital games in Cape Town suggest the fragmentation and inequalities of contemporary play practices and the need for a more inclusive understanding of digital gaming. Mobile phones offer more accessibility than other digital gaming platforms and local appropriations include display of micro-commodities, concealment of outdated technology, control strategies and deletion of functionality. Young people move between multiple overlapping communicative spaces and hence complex cultural articulations arise when global game narratives are appropriated to make sense of racial otherness, crime and politics in South Africa. Since educational curricula cater for highly fractured publics, we ask whether it is advisable to speak of 'game literacy'. We suggest the need to validate less strongly mediatised forms of play, and to address diverse identification practices in consumer culture, including prestige and status as well as othering and shame. © 2012 Copyright Taylor and Francis Group, LLC.","appropriation; domestication; game literacy; mobile games; multiliteracies; play","","Article","Final","","Scopus","2-s2.0-84863445110"
"Mitchell J.; O'Neill E.; Zyba G.; Voelker G.M.; Liljenstam M.; Mehes A.; Johansson P.","Mitchell, James (56555616100); O'Neill, Eamonn (7102966301); Zyba, Gjergji (18039050500); Voelker, Geoffrey M. (7003306507); Liljenstam, Michael (6603416243); Mehes, Andras (59014489200); Johansson, Per (35078584100)","56555616100; 7102966301; 18039050500; 7003306507; 6603416243; 59014489200; 35078584100","Limitations of scanned human copresence encounters for modelling proximity-borne malware","2012","2012 4th International Conference on Communication Systems and Networks, COMSNETS 2012","","","6151306","","","","3","10.1109/COMSNETS.2012.6151306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858035221&doi=10.1109%2fCOMSNETS.2012.6151306&partnerID=40&md5=fc52cffac4954937e3dff2a82cc6687e","Patterns of human encounters, which are difficult to observe directly, are fundamental to the propagation of mobile malware aimed at infecting devices in spatial proximity. We investigate errors introduced by using scanners that detect the presence of devices on the assumption that device copresence at a scanner corresponds to a device encounter. We show in an ideal static model that only 59% of inferred encounters correspond to actual device copresence. To investigate the effects of mobility, we use a simulator to compare encounters between devices with those inferred by scanners. We show that the statistical properties of scanned encounters differ from actual device encounters in ways which impact malware propagation dynamics, a form of aggressive data dissemination. In addition to helping us understand the limitations of encounter data gathered by scanners in the field, our use of virtual scanners suggests a practical method for using these empirical datasets to better inform simulations of proximity malware outbreaks and similar data dissemination applications. © 2012 IEEE.","","Communication systems; Computer crime; Equipment; Co-presence; Data dissemination; Data sets; Malware propagation; Malwares; Mobile malware; Practical method; Spatial proximity; Static model; Statistical properties; Scanning","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84858035221"
"Guo Y.; Lee I.","Guo, Yinghua (56137498400); Lee, Ivan (7404442312)","56137498400; 7404442312","Forensic analysis of DoS attack traffic in MANET","2010","Proceedings - 2010 4th International Conference on Network and System Security, NSS 2010","","","5635503","293","298","5","7","10.1109/NSS.2010.48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650312626&doi=10.1109%2fNSS.2010.48&partnerID=40&md5=587a8825b44772b14fec9614c8bc9e97","This paper investigates distributed denial of service attacks using non-address-spoofing flood (NASF) over mobile ad hoc networks (MANET). Detection features based on statistical analysis of IDS log files and flow rate information are proposed. Detection of NASF attack is evaluated using three metrics, including detection ratio, detection time and false detection rate. Thus, the proposed framework address important issues in forensic science to identify what and when does the attack occur. Different NASF attack patterns with different network throughput degradations are simulated and examined in this paper. © 2010 IEEE.","DDoS attack; MANET; Network forensics; Traffic analysis","Ad hoc networks; Computer crime; Mobile ad hoc networks; Attack patterns; DDoS Attack; Detection time; Distributed denial of service attack; DoS attacks; False detections; Forensic analysis; Forensic science; Log file; MANET; Network forensics; Network throughput; Statistical analysis; Traffic analysis; Network security","Conference paper","Final","","Scopus","2-s2.0-78650312626"
"Przybyla J.; Taylor J.; Zhou X.","Przybyla, Jay (36560154200); Taylor, Jeffrey (55851948016); Zhou, Xuesong (8246091000)","36560154200; 55851948016; 8246091000","Locating sensors for detecting source-to-target patterns of special nuclear material smuggling: A spatial information theoretic approach","2010","Sensors","10","9","","8070","8091","21","5","10.3390/s100908070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958005629&doi=10.3390%2fs100908070&partnerID=40&md5=b66bc33f41996d661fb052260dd76128","In this paper, a spatial information-theoretic model is proposed to locate sensors for detecting source-to-target patterns of special nuclear material (SNM) smuggling. In order to ship the nuclear materials from a source location with SNM production to a target city, the smugglers must employ global and domestic logistics systems. This paper focuses on locating a limited set of fixed and mobile radiation sensors in a transportation network, with the intent to maximize the expected information gain and minimize the estimation error for the subsequent nuclear material detection stage. A Kalman filtering-based framework is adapted to assist the decision-maker in quantifying the network-wide information gain and SNM flow estimation accuracy. © 2010 by the authors.","Information theory; Kalman filter; Nuclear material smuggling; Sensor network","Algorithms; Crime; Elements, Radioactive; Environmental Monitoring; Geographic Information Systems; Models, Theoretical; Terrorism; Transportation; Information theory; Kalman filters; Sensor networks; radioactive element; Estimation errors; Expected informations; Nuclear material; Nuclear material detection; Radiation sensors; Spatial informations; Special nuclear materials; Transportation network; algorithm; article; chemistry; crime; environmental monitoring; geographic information system; instrumentation; standard; terrorism; theoretical model; traffic and transport; Radioactive materials","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-77958005629"
"Tillyer M.S.; Eck J.E.","Tillyer, Marie Skubak (26434483900); Eck, John E. (8745902600)","26434483900; 8745902600","Getting a handle on crime: A further extension of routine activities theory","2011","Security Journal","24","2","","179","193","14","55","10.1057/sj.2010.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953083920&doi=10.1057%2fsj.2010.2&partnerID=40&md5=da36677df510222b2e4809d693169228","Routine activities theory has had considerable influence, stimulating subsequent theoretical development, generating an empirical literature on crime patterns and informing the design of prevention strategies. Despite these numerous applications of the theory to date, a promising vein for theoretical development, research and prevention remains untapped. The concept of handlers, or those who control potential offenders, has received relatively little attention since introduced by Felson (1986). This article examines the reasons for the lack of attention to handlers and extends routine activities theory by proposing a model of handler effectiveness that addresses these issues. In addition, the model explicitly links routine activities theory with two of its complements - the rational choice perspective and situational crime prevention - to articulate the mechanism by which handling prevents crime. We conclude by discussing the broad range of prevention possibilities offered by the model of handler effectiveness. © 2011 Macmillan Publishers Ltd.","crime prevention; handlers; routine activities","","Article","Final","","Scopus","2-s2.0-79953083920"
"Steffensmeier D.; Feldmeyer B.; Harris C.T.; Ulmer J.T.","Steffensmeier, Darrell (6701410964); Feldmeyer, Ben (16743921600); Harris, Casey T. (35179477700); Ulmer, Jeffery T. (7103118992)","6701410964; 16743921600; 35179477700; 7103118992","Reassessing Trends In Black Violent Crime, 1980-2008: Sorting Out The ""Hispanic Effect"" In Uniform Crime Reports Arrests, National Crime Victimization Survey Offender Estimates, And U.S. Prisoner Counts","2011","Criminology","49","1","","197","251","54","76","10.1111/j.1745-9125.2010.00222.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951980566&doi=10.1111%2fj.1745-9125.2010.00222.x&partnerID=40&md5=eb9f75d1bbb7200e4524464dc5c8178d","Recent studies suggest a decline in the relative Black effect on violent crime in recent decades and interpret this decline as resulting from greater upward mobility among African Americans during the past several decades. However, other assessments of racial stratification in American society suggest at least as much durability as change in Black social mobility since the 1980s. Our goal is to assess how patterns of racial disparity in violent crime and incarceration have changed from 1980 to 2008. We argue that prior studies showing a shrinking Black share of violent crime might be in error because of reliance on White and Black national crime statistics that are confounded with Hispanic offenders, whose numbers have been increasing rapidly and whose violence rates are higher than that of Whites but lower than that of Blacks. Using 1980-2008 California and New York arrest data to adjust for this ""Hispanic effect"" in national Uniform Crime Reports (UCR) and National Crime Victimization Survey (NCVS) data, we assess whether the observed national decline in racial disparities in violent crime is an artifact of the growth in Hispanic populations and offenders. Results suggest that little overall change has occurred in the Black share of violent offending in both UCR and NCVS estimates during the last 30 years. In addition, racial imbalances in arrest versus incarceration levels across the index violent crimes are both small and comparably sized across the study period. We conclude by discussing the consistency of these findings with trends in economic and social integration of Blacks in American society during the past 50 years. © 2011 American Society of Criminology.","Disparities; Hispanics; Incarceration; Race; Trends; Violence","","Article","Final","","Scopus","2-s2.0-79951980566"
"Bouffard L.A.; Bouffard J.A.","Bouffard, Leana A. (14122848300); Bouffard, Jeffrey A. (35316826200)","14122848300; 35316826200","Understanding men's perceptions of risks and rewards in a date rape scenario","2011","International Journal of Offender Therapy and Comparative Criminology","55","4","","626","645","19","14","10.1177/0306624X10365083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956372208&doi=10.1177%2f0306624X10365083&partnerID=40&md5=8524a3ea44ca7696e6b165a9d7a68660","Existing research on date rape has identified important correlations between rape-supportive attitudes and sexual aggression. What remains unclear is the mechanism by which these attitudes are translated into sexually aggressive behavior. This study borrows from a rational choice framework to explore the relationship between attitudes, perceptions of the risks and rewards of engaging in date rape, and self-reported hypothetical aggression in a date rape scenario. Results suggest that rape-supportive attitudes are related to particular patterns of identified risks and rewards of date rape as well as to the self-reported likelihood of engaging in date rape behavior. This supports a perspective that certain attitude structures may alter the risks and rewards that potential offenders consider in deciding whether or not to engage in sexual aggression. Implications for future research and prevention programs are discussed. © 2011 SAGE Publications.","date rape; rape myths; rational choice","Adolescent; Adult; Aggression; Alcoholic Intoxication; Arousal; Attitude; Choice Behavior; Coercion; Courtship; Gender Identity; Humans; Intention; Male; Rape; Rationalization; Reward; Risk-Taking; Students; Young Adult; adolescent; adult; aggression; alcohol intoxication; arousal; article; attitude; behavior; courtship; decision making; defense mechanism; gender identity; high risk behavior; human; legal aspect; male; persuasive communication; psychological aspect; rape; reward; student","Article","Final","","Scopus","2-s2.0-79956372208"
"Grover J.; Gaur M.S.; Laxmi V.","Grover, Jyoti (36536965300); Gaur, Manoj Singh (11339605200); Laxmi, Vijay (59263995000)","36536965300; 11339605200; 59263995000","A novel defense mechanism against Sybil attacks in VANET","2010","SIN'10 - Proceedings of the 3rd International Conference of Security of Information and Networks","","","","249","255","6","29","10.1145/1854099.1854150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958037656&doi=10.1145%2f1854099.1854150&partnerID=40&md5=0529a20168acc1b9ee37b5f431277391","Security is an important concern for many Vehicular Ad hoc Network (VANET) applications. One particular serious attack, known as Sybil attack, against ad hoc networks involves an attacker illegitimately claiming multiple identities. In this paper, we present a simple security scheme, based on the difference in movement patterns of Sybil nodes and normal nodes, for detecting Sybil nodes in VANET. Our approach is distributed in nature because all nodes contribute for detection of Sybil nodes in VANET and it scales well in an expanding network. In this approach, each Road Side Unit (RSU) calculates and stores different parameter values (Received Signal Strength, distance, angle) after receiving the beacon packets from nearby vehicles. The combination of the parameters makes our detection approach highly accurate. After a significant observation period, these RSUs exchange their records and calculate the difference of the parameters. If some nodes have same values for the parameters during this observation period, these nodes are classified as Sybil nodes. Our preliminary simulation results show 99% accuracy and approximately 0.5% error rate, lower as compared to existing techniques. Copyright 2010 ACM.","Security; Sybil attack; Vehicular Ad Hoc Networks","Computer crime; Frequency hopping; Mobile telecommunication systems; Security of data; Defense mechanism; Detection approach; Error rate; Movement pattern; Multiple identities; Observation Period; Parameter values; Received signal strength; Security; Security scheme; Simulation result; Sybil attack; Vehicular ad hoc networks; Ad hoc networks","Conference paper","Final","","Scopus","2-s2.0-77958037656"
"Al-Kuwari S.; Wolthusen S.D.","Al-Kuwari, Saif (57225245700); Wolthusen, Stephen D. (55887434700)","57225245700; 55887434700","Probabilistic vehicular trace reconstruction based on RF-visual data fusion","2010","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6109 LNCS","","","16","27","11","6","10.1007/978-3-642-13241-4_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954635868&doi=10.1007%2f978-3-642-13241-4_3&partnerID=40&md5=e655ae60d6d9531d71282a54c0de19d0","Geolocation information is not only crucial in conventional crime investigation, but also increasingly important for digital forensics as it allows for the logical fusion of digital evidence that is often fragmented across disparate mobile assets. This, in turn, often requires the reconstruction of mobility patterns. However, real-time surveillance is often difficult and costly to conduct, especially in criminal scenarios where such process needs to take place clandestinely. In this paper, we consider a vehicular tracking scenario and we propose an offline post hoc vehicular trace reconstruction mechanism that can accurately reconstruct vehicular mobility traces of a target entity by fusing the corresponding available visual and radio-frequency surveillance data. The algorithm provides a probabilistic treatment to the problem of incomplete data by means of Bayesian inference. In particular, we realize that it is very likely that a reconstructed route of a target entity will contain gaps (due to missing trace data), so we try to probabilistically fill these gaps. This allows law enforcement agents to conduct off-line tracking while characterizing the quality of available evidence. © 2010 Springer-Verlag.","Bayesian; Fusion; Scene Reconstruction; Trace; Tracking; Vehicular","Ad hoc networks; Bayesian networks; Computer crime; Inference engines; Repair; Thermal conductivity; Bayesian networks; Data fusion; Fusion reactions; Inference engines; Surface discharges; Bayesian fusion; Bayesian inference; Crime investigation; Digital evidence; Digital forensic; Geolocations; Incomplete data; Mobility pattern; Offline; Probabilistic treatments; Process needs; Radio frequencies; Real-time surveillance; Scene reconstruction; Surveillance data; Trace data; Visual data; Bayesian; Crime investigation; Probabilistic treatments; Real-time surveillance; Scene reconstruction; Trace; Vehicular; Vehicular mobilities; Target tracking; Target tracking","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-77954635868"
"Seidendorf S.","Seidendorf, Stefan (57193173208)","57193173208","Contesting Europe: The constitutive impact of discursive dynamics on national referendum campaigns","2010","European Political Science Review","2","3","","423","450","27","10","10.1017/S1755773909990300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011457557&doi=10.1017%2fS1755773909990300&partnerID=40&md5=c16c6f3a4790406489e2eef5d810b9ad","A comparison of two referendum campaigns on Europe in France and Ireland shows two different patterns of mobilisation. Focusing on the perceived influence of the European treaties on national legislation on abortion, two different types of Euro-scepticism can be discerned. One is settled in a potentially universal project of ‘enlightenment’ (fearing the ‘criminalisation’ of abortion due to EU (European Union) regulations), the other is concerned with the defence of the nation's democratic sovereignty against the EU (and fears ‘liberalisation’ of abortion due to the same EU regulations). A discourse analysis of these two different settings establishes the ‘discursive dynamics’ of each campaign: How were actors constituted (into ‘legitimate’ actors) and how could the (differing) interpretations of EU treaty provisions become plausible and constitute into different national discourses? Instead of perceiving social variables (norms, rules, identities) as ‘independent’ factors that explain outcomes, the social process of their constitution is at the centre of this analysis. Understanding how and when certain actors and certain topics (or problematiques) come into being (are ‘constituted’) may, in turn, allow some ‘reasoned claims’ on the character of popular Euro-scepticism. © 2010, European Consortium for Political Research. All rights reserved.","constitutionalisation; constructivism; discourse analysis; Euro-scepticism; referendum","","Article","Final","","Scopus","2-s2.0-85011457557"
"Morselli C.; Turcotte M.; Tenti V.","Morselli, Carlo (6602130469); Turcotte, Mathilde (59278419900); Tenti, Valentina (43061659300)","6602130469; 59278419900; 43061659300","The mobility of criminal groups","2011","Global Crime","12","3","","165","188","23","67","10.1080/17440572.2011.589593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960367398&doi=10.1080%2f17440572.2011.589593&partnerID=40&md5=5e8e080d5df2f82955b9983fd1f66c08","This article reviews evidence from past research that addresses diverse themes and theories regarding shifts and patterns in the mobility of criminal groups. Our main objective is to identify push and pull factors that will help us understand how and why criminal groups, organisations or general organised crime patterns are present across a variety of settings (i.e. geographical locations, criminal markets and legitimate industries). Push factors refer to forces which drive criminal groups from a setting. Pull factors refer to forces which draw criminal groups to a setting. A distinction is also made between contexts in which offenders organise around available opportunities (the strategic context) and contexts in which opportunities induce greater organisational levels amongst offenders (the emergent context). The most general statement that can be formulated from the present exercise is that opportunities matter more than the group itself. What we demonstrate is that the problems concerning geographical locations, criminal markets and legitimate industries that are vulnerable to organised crime are persistent and stable over time. Groups that seize such opportunities, on the other hand, are transient and more than often short-lived. Aside from reviewing past research in search of such factors, we also apply the general understanding that emerges from our analysis to critically assess case studies that reflect popular images of organised crime threats in Canada during recent years. The concluding section identifies the key issues that must be addressed within this area. © 2011 Taylor & Francis.","Criminal groups; Mobility; Organised crime; Push and pull factors","","Review","Final","","Scopus","2-s2.0-79960367398"
"Dabbaghian V.; Jackson P.; Spicer V.; Wuschke K.","Dabbaghian, Vahid (26436374500); Jackson, Piper (36179790200); Spicer, Valerie (36180067900); Wuschke, Kathryn (24073852800)","26436374500; 36179790200; 36180067900; 24073852800","A cellular automata model on residential migration in response to neighborhood social dynamics","2010","Mathematical and Computer Modelling","52","9-10","","1752","1762","10","30","10.1016/j.mcm.2010.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956011870&doi=10.1016%2fj.mcm.2010.07.002&partnerID=40&md5=6ea4ed47b22d816415ff6a2a29ed760b","Residential migration patterns result from complex processes involving households and their neighborhoods. Simulation models assist in understanding this relationship by contextualizing residential mobility within a theoretical framework. The objective of this study is to model these migration patterns created by the interaction between changes in the social structure of households and the positive or negative social attractors in the neighborhood. Specifically, this study links residential mobility to the dynamic interplay between the micro-environment existing within a household and the meso-environment that structures a neighborhood. The cellular automata model developed in this study incorporates transition rules which govern households in their decision to move. The results represented by a cellular grid demonstrate that residential mobility is significantly influenced by density rates, individual household factors and neighborhood attractors. Three contrasting scenarios are presented in this paper to illustrate the impact of occupancy, density, neighborhood social influence, and the effect of a conglomeration of negative social attractors in a neighborhood. Future iterations of this model will incorporate census and crime data in order to test whether the rules governing this model are an accurate reflection of residential mobility in a mid-sized Canadian city. © 2010 Elsevier Ltd.","Cellular automata; Computational modeling; Crime attractor; Residential migration; Social influence; Urban density","Automata theory; Cellular automata; Crime; Dynamical systems; Pattern recognition systems; Cellular automata models; Complex Processes; Computational modeling; Crime data; Migration patterns; Residential migration; Residential mobility; Simulation model; Social dynamics; Social influence; Social structure; Theoretical framework; Transition rule; Urban density; Computer simulation","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-77956011870"
